title,company,location,url,date,deadline,department,email
משרת השגחה על בחינות,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-05-10,,pensioners,examunit@bgu.ac.il
אחראי/ת על קליטת תיזות ודיסרטציות דיגיטליות בספריית ארן,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-05-10,,pensioners,igeller@bgu.ac.il
"פנסיונר/ית לתפקיד טיפול בדו""חות נסיעה של סגל האוניברסיטה",אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-05-10,,pensioners,balag@bgu.ac.il
דרוש/ה פאבריקטור/ית – פיתוח והרצת תהליכי ננופאברקציה,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-05-10,,pensioners,golaner@bgu.ac.il
מייעצ.ת - מדור חשבונות סטודנטים - מחלקת מנהל תלמידים,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/pensioners/,2026-05-10,,pensioners,ornab@bgu.ac.il
דרוש/ה מתאמ/ת מחקר ליחידת המחקר של היחידה למחלות זיהומיות ילדים,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-05-10,,admin,orliz@bgu.ac.il
מנהל/ת שיווק ופיתוח עסקי למעבדת NUR,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-05-10,,admin,
רכז/ת אדמיניסטרטיבי/ת,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-05-10,,admin,hayuns@bgu.ac.il
טכנאי/ת מערך מדידות ייחודי ומקיף בחוות הניסויים משאש שבצומת הנגב,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-05-10,,admin,agam@bgu.ac.il
דרוש/ה מהנדס/ת מחקר ופיתוח,אוניברסיטת בן-גוריון בנגב,באר שבע,https://www.bgu.ac.il/recruitment/additional-jobs-administrative-and-technical-staff/,2026-05-10,,admin,golaner@bgu.ac.il
