title,company,location,date,url,department,workplace_type,description
מזכיר/ת מחלקה,מחוז דן פתח תקווה,רמת גן,2026-05-11,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49591,מנהל ומטה,,"להנהלת מחוז דן פ""ת דרוש/ה מזכיר/ה למחלקת שיווק תיאור התפקיד: ליווי פרוייקטים שיווקים במחוז אחריות על מכלול עבודות המזכירות במשרד, טיפול בדואר נכנס ויוצא, הדפסת חומר מגוון, תיוק, מענה לטלפונים וכו' קביעת פגישותיה של המנהלת ותיאום לוח הזמנים רישום פרוטוקולים מישיבות והפצתם עפ""י דרישת הממונה ריכוז והכנת חומר מגוון עבור ישיבות וועדות בהתאם להנחיית המנהלת קשר עם גורמים שונים במוסד ומחוצה לו שותפות בתהליכים במחלקה טיפול בחשבוניות המחלקה ניהול קובץ התקציב שליטה בתוכנות המידע ועיבוד נתונים לפי דרישה הכנת מצגות PP למידת מערכות הכללית (טאבלו, סאפ, עידן קהילה, ניפנדו, בינה) הוצאת נתונים והנגשתם למנהלת השיווק ברמה יומית, עפ""י בקשה דרישות התפקיד: תעודת בגרות, חובה (תואר ראשון - יתרון) ניסיון של שנתיים בעבודות מזכירות יחסי עבודה ואנוש תקינים ידיעת השפה העברית על בורייה שפה נוספת - יתרון *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מנהל/ת יחידת מחשוב,מחוז שרון שומרון,נתניה,2026-05-11,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49590,מנהל ומטה,,"להנהלת מחוז שרון שומרון דרוש/ה מנהל/ת יחידת מחשוב, הכולל הובלת תחום מערכות המידע והטכנולוגיה והשפעה ישירה על תהליכי העבודה והשירות בארגון תפקיד בכיר ומשפיע בסביבת עבודה מתקדמת הזדמנות להוביל חדשנות ושינוי סביבת עבודה מקצועית ודינמית תנאים טובים ואופק מקצועי תיאור התפקיד: הובלה מקצועית וניהולית של מערך המחשוב ומתן שירות איכותי ואמין גיבוש תוכניות עבודה ואסטרטגיה טכנולוגית וניהול משאבים ותקציבים ניהול והובלת צוות עובדים ופיתוח ההון האנושי ליווי הנהלה ועובדים ביישום פתרונות טכנולוגיים מתקדמים הובלת פרויקטים והטמעת חדשנות ניהול קשרים עם גורמים פנימיים וחיצוניים אחריות על תפעול, תחזוקה ופיתוח מערכות המידע דרישות התפקיד: תואר אקדמי רלוונטי בתחום המחשוב/מערכות מידע או תחום מקביל ניסיון של לפחות 5 שנים בתחום וניסיון ניהולי מוכח ניסיון בניהול פרויקטים, צוותים ותקציבים היכרות עם טכנולוגיות מחשוב, תשתיות ותקשורת ראייה מערכתית ויכולת הובלת תהליכים כישורי ניהול ותקשורת בינאישית גבוהים שליטה מלאה בעברית ובאנגלית *תינתן עדיפות למועמדים/ות עם מוגבלויות"
טבח/ית,מרכז רפואי לשיקום לוינשטיין,רעננה,2026-05-11,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48668,אחזקה ולוגיסטיקה,,"למרכז רפואי לשיקום לוינשטיין דרוש/ה טבח/ית העבודה במשרה מלאה כחלק מצוות בכפיפות למנהל מערך המזון ימים א'-ה', בין השעות 07:00-15:00 עם נכונות לשעות נוספות תיאור התפקיד : ביצוע עבודות בישול מקצועיות במטבח בית החולים קבלת מצרכי מזון להכנה בהתאם לתפריט היומי רגיל דיאטה ומיוחד הכנת התפריט בהתאם למתכונים נתונים במסגרת צוות בישול ובתיאום עם הטבח הבכיר הקפדה על איכות הבישול כללי הניקיון, תברואה , היגיינה בטיחות וכשרות בכל שלביה העברת המזון המוכן לכלים מתאימים לשם חלוקתו הכנת ציוד הבישול הנייח לשטיפה והעברת שאר הציוד לחדר שטיפה שותפות בארגון ותפעול אירועים וכיבודים בכלל בית החולים מילוי תפקידים נוספים בתחום המקצועי לפי הוראות הממונה דרישות התפקיד : 10 שנות לימוד בוגר/ת בי""ס מוסמך לטבחים ו/או קורסים מקבילים מוכרים - סוג 1 ידע נרחב בתחום המקצועי - ניסיון קודם של שנתיים ומעלה במטבח מוסדי יחסי עבודה ואנוש טובים, יכולת עבודה בצוות ידיעת השפה העברית היכרות עם שימוש במחשב * תינתן עדיפות למועמדים/ות עם מוגבלויות"
פקיד/ת תביעות,מרכז רפואי לשיקום לוינשטיין,רעננה,2026-05-11,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48212,מנהל ומטה,,"דרוש/ה פקיד/ת תביעות - ביטוח לאומי העבודה במשרה מלאה, כולל 2 משמרות בשבוע עד השעה 18:30 תיאור התפקיד: אחריות על תיק תביעה מיום קבלתו במכון ועד יציאתו לסניף הבנת התיק מבחינת חוק נכות כללית, מענה טלפוני לשאלות התובעים, שאלות הסניף ושאלות הרופאים השתתפות בוועדות - ריכוז חומרים נדרשים, הקלדת פרוטוקול, סיוע לרופא האחראי אחריות לביקורת על עבודת הרופאים מבחינת החוק ועל עבודת עו""ס מבחינת החוק מתן שירות פרונטלי וטלפוני למטופלים בנושאים אדמיניסטרטיביים קבלת תובעים בדלפק הקדמי והפנייתם לגורמי הטיפול השונים אחריות על הזרמת תיקים והפקת הזמנות מהמחשב בהתאם לצורך אחריות על תיוק, סריקת חומר רפואי ומנהלי לתיק המטופל וביצוע משימות משרדיות דרישות התפקיד: תעודת בגרות מלאה - חובה תואר ראשון - יתרון שליטה מלאה בשפה העברית, ידיעת שפה נוספת - יתרון שליטה במחשב ובתוכנות Office תודעת שירות גבוהה תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בעל פה ובכתב, הקלדה מהירה וכתב יד קריא *תינתן עדיפות למועמדים/ות עם מוגבלויות"
עובד/ת סוציאלי/ת,מרכז רפואי לשיקום לוינשטיין,רענננה,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49583,עבודה סוציאלית,,"למרכז הרפואי לוינשטיין דרוש/ה עו""ס למכון להערכה תפקודית (חוות דעת לביטוח לאומי) תיאור התפקיד : ראיונות חד פעמיים עם תובעים בתהליך הכרה מול הביטוח הלאומי כתיבת דוחות כחלק מתהליך של הוועדה הרפואית תינתן הדרכה וליווי בכניסה לתפקיד והכשרה מקצועית בהתאם העבודה בצוות נחמד ומחבק שכר לפי הסכמי השכר של העו""ס דרישות התפקיד : תואר ראשון בעבודה סוציאלית - חובה רישיון עיסוק בעבודה סוציאלית- חובה שליטה מלאה בשפה העברית ויכולת הבעה בכתב - חובה ידיעת השפה הערבית - יתרון *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מזכיר/ה,הנהלה ראשית,תל אביב,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49587,מנהל ומטה,,"להנהלה ראשית דרוש/ה מזכיר/ה ללשכה המשפטית תיאור התפקיד : ביצוע מכלול פעילויות המזכירות השונות, כולל טיפול בדואר נכנס ויוצא, הדפסת חומר מגוון, תיוק, מענה לטלפונים וכו' קביעת פגישות הממונה ותיאום לוח הזמנים שלו רישום פרוטוקולים מישיבות והפצתם עפ""י דרישת הממונה ריכוז והכנת חומר מגוון עבור ישיבות, ועדות או טיפול אחר בהתאם להנחיית הממונה קשר עם גורמים שונים במוסד ומחוצה לו דרישות התפקיד : השכלה תיכונית - תעודת בגרות ידיעת השפה העברית על בורייה שליטה מלאה בתוכנות OFFICE יחסי עבודה ואנוש תקינים היכרות עם SAP - יתרון *תינתן עדיפות למועמדים/ות עם מוגבלויות"
עובד/ת סוציאלי/ת לבית חולים השרון,מרכז רפואי רבין,פתח תקווה,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=47044,עבודה סוציאלית,,"לבית חולים השרון דורש/ה עובד/ת סוציאלי/ת למרכז יחידת סגולה היקף משרה: 75% תוכנית יחידות סגולה הנה תוכנית ייחודית לשיויון חברתי בשיתוף השירות הסוציאלי של בית החולים מטרתה: הנגשת זכויות לאזרחים ותיקים המאושפזים בבית החולים ובני משפחותיהם תיאור התפקיד: ניהול צוות מתנדבים - גיוס, הכשרה והפעלת מתנדבים לצד עבודה במחלקות האשפוז הפעלת מוקד טלפוני ניהול מערך דוחות ממוחשבים ועבודה בתיאום ובשיתוף פעולה מול השירות הסוציאלי בבית החולים עבודה פרטנית, משפחתית, עבודה בצוות רב מקצועי בבית החולים ניהול קשר אינטנסיבי עם גורמי קהילה כגון בטל""א, הקרן לרווחה לניצולי השואה, קופות חולים ועוד דרישות התפקיד: תואר ראשון בעבודה סוציאלית - חובה רישיון עיסוק בעבודה סוציאלית ניסיון של שנה לפחות בתחום העבודה הסוציאלית ניסיון בתחום הבריאות וניהול מתנדבים - יתרון משמעותי ידע בתחום הטיפול באזרחים וותיקים ומשפחותיהם - יתרון משמעותי יתרון לדוברי שפות נוספות *תינתן עדיפות למועמדים/ות עם מוגבלויות"
עובד/ת מעבדה לגנטיקה מולקולרית,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=47927,מעבדות רפואיות,,"לבית חולים בילינסון דרוש/העובד/ת מעבדה לגנטיקה מולקולרית היקף משרה: משרה חלקית/משרה מלאה תיאור התפקיד: קליטת דגימות מהגורמים המפנים וביצוע הבדיקות הנדרשות הפעלת מערכות אבטחת איכות מתקדמות כחלק משגרת העבודה עיבוד נתוני הבדיקות והפצת תוצאותיהן לצוותים הרפואיים דרישות התפקיד: תואר ראשון - מדעי המעבדה הרפואית, ביוכימיה, ביוטכנולוגיה, גנטיקה, הנדסת ביוטכנולוגיה, חקלאות, כימיה, מדעי החיים, מדעי הרפואה, רוקחות, רפואה, רפואה וטרינרית, תזונה תעודת הכרה במעמד עובד מעבדה רפואית אקדמאי (רישיון עיסוק) מטעם משרד הבריאות ידיעת השפה העברית על בוריה ידיעת השפה האנגלית כדי קריאת ספרות מקצועית כושר ביטוי בכתב ובעל-פה יחסי אנוש טובים ויכולת עבודה בצוות *תינתן עדיפות למועמדים/ות עם מוגבלויות"
"מזכיר/ה רפואי/ת - מלר""ד",מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=47978,מנהל ומטה,,"למרכז הרפואי בלינסון דרוש/ה מזכיר/ה רפואי/ת תיאור התפקיד: טיפול אדמיניסטרטיבי בקבלה ובשחרור מטופלים דחופים המגיעים למלר""ד טיפול אדמיניסטרטיבי באשפוז מטופלים במחלקות בית החולים מתן שירות פרונטאלי וטלפוני בנושאים אדמיניסטרטיביים למטופלים ובני משפחותיהם תמיכה אדמיניסטרטיבית בצוות רפואי וסיעודי במחלקה קיום ממשקי עבודה עם כל יחידות בית החולים לצורך קידום הטיפול במטופל (מחלקות אשפוז, מרפאות חוץ, יחידות דימות, מעבדות, יחידת הסניטרים ועוד) טיפול בנושאים כספיים, גבייה והחזרים תיעוד ודיווח על פעולות שבוצעו במרפאה במערכות ממוחשבות עבודה משרדית שוטפת: הכנת תיקים, תיוק, סריקה, הנפקת מדבקות, טיפול בדואר, הזמנת ציוד דרישות התפקיד: תעודת בגרות מלאה תעודת מזכירות רפואית ניסיון בעבודת מזכירות בתחום הרפואה - יתרון שליטה מלאה בשפה העברית ידיעה של שפה נוספות - יתרון שליטה במחשב ובתוכנות Office כושר ארגון, תפעול וקידום תהליכים תודעת שירות גבוהה תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בעל פה ובכתב *תינתן עדיפות למועמדים/ות עם מוגבלויות"
סגן/ית גנן ראשי,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48006,אחזקה ולוגיסטיקה,,"לבית החולים בילינסון דרוש/ה סגן/ית גנן ראשי סיוע למנהל שרותי חצר במרכז הרפואי בניהול, פיקוח ובקרה על כל עבודות הגינון והאחזקה של חצרות המרכז הרפואי בעבודה עצמית ובעזרת צוות עובדים כפיפות: מנהל שירותי חצר ומנהל משק חצר וגן היקף משרה : 100% תאור התפקיד : סיוע למנהל ב: תכנון וארגון עבודת החצרנים פיקוח על סדרי העבודה ועל הניקיון ביחידות ע""י סיורים וביקורות פיקוח על עבודת החצרנים והגננים ווידוא ביצוע על פי ההוראות פינוי אשפה וקרטונים מכל המחלקות המכונים והיחידות פינוי חומרים מסוכנים מכל המחלקות המכונים והיחידות העברת חפצים וציוד לתיקון למחלקת האחזקה מכל יחידות ביה "" ח פינוי מסמכים תיקים וניירת להשמדה עבודות שינוע וסבלות בביה""ח על פי הצורך יישום והקפדה על נהלי הבטיחות בעבודות הגינון מעקב אחרי צמחיה סיוע למנהל בקליטת עובדים חדשים אחריות על ניקיון ותחזוקת החניונים והמרתפים בשטחי המרכז הרפואי אחריות על החלפת דגלים בשטחי המרכז הרפואי בהתאם לצורך תוך הקפדה על מראה ייצוגי ותקין אחריות על ניקיון החצרות בדירות שירות אחריות על איתור, דיווח וטיפול במפגעים בטיחותיים בחצר ובחניונים עבודה מול ספקי ונותני שירותי חוץ דרישות התפקיד: השכלה 12 שנות לימוד תעודת הסמכה גינון סוג 1 בגרות מלאה - יתרון ניסיון מעשי של 3 שנים לפחות בניהול חצר וצוות עובדים ידע מקצועי בתחום שתילים, דישון והשקיה יכולת ניהול, תיאום ופיקוח על מספר משימות במקביל יחסי עבודה ויחסי אנוש תקינים אחריות, יוזמה ויכולת קבלת החלטות בשטח כושר הבעה בכתב ובע""פ *תינתן עדיפות למועמדים/ות עם מוגבלויות"
