title,company,location,date,url,department,employment_type
Backend Team Lead,Driivz,Hod Ha'Sharon,2026-04-19,https://driivz.com/de/careers/co/israel/E3.761/backend-team-lead/all/,Engineering,Full-time
Backend Tech Lead,Driivz,Hod Ha'Sharon,2026-04-17,https://driivz.com/careers/co/israel/28.660/backend-tech-lead/all/,Engineering,Full-time
Chief of Staff,Driivz,Hod Ha'Sharon,2026-04-19,https://driivz.com/careers/co/israel/3F.362/chief-of-staff/all/,G&A,Full-time
Product Manager - CSMS,Driivz,Hod Ha'Sharon,2026-04-19,https://driivz.com/careers/co/israel/5C.46D/product-manager-csms/all/,Product Management,Full-time
R&D PMO,Driivz,Hod Ha'Sharon,2026-04-17,https://driivz.com/careers/co/israel/5C.569/rd-pmo/all/,Engineering,Full-time
Accounting Manager,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=20.36B,Finance,
Associate legal counsel (Litigation),Plus500,TEL AVIV,2026-04-14,https://careers.plus500.com/?pid=5F.53A,Finance,
Backend Software Engineer,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=19.955,R&D,Full-time
Business Development Analyst,Plus500,TEL AVIV,2026-04-15,https://careers.plus500.com/?pid=1A.856,Finance,
Consolidation Assistant Controller,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=D7.164,Finance,Full-time
Controller,Plus500,TEL AVIV,2026-04-15,https://careers.plus500.com/?pid=FF.05E,Finance,Full-time
Customer Support Representative,Plus500,Haifa,2026-04-14,https://careers.plus500.com/?pid=1E.B5A,Operations ,Full-time
Experienced Backend Software Engineer (TLV),Plus500,TEL AVIV,2026-04-15,https://careers.plus500.com/?pid=E7.847,R&D,Full-time
Financial Systems Specialist,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=20.368,Finance,
iOS Software Engineer,Plus500,Haifa,2026-04-19,https://careers.plus500.com/index.html?pid=03.E1E,R&D,
iOS Software Engineer (TLV),Plus500,TEL AVIV,2026-04-15,https://careers.plus500.com/?pid=4D.55D,R&D,
Office Admin,Plus500,TEL AVIV,2026-04-18,https://careers.plus500.com/?pid=3A.767,HR & Administration,Full-time
Payments Operator,Plus500,Haifa,2026-04-19,https://careers.plus500.com/?pid=CC.F57,Operations ,Full-time
Product Designer,Plus500,Haifa,2026-04-14,https://careers.plus500.com/?pid=D8.56B,R&D,
Product Manager,Plus500,Haifa,2026-04-14,https://careers.plus500.com/?pid=1E.B35,R&D,
Regulatory Affairs Specialist,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=F9.563,Regulation,
Senior WebApp Infrastructure Engineer,Plus500,Haifa,2026-04-15,https://careers.plus500.com/?pid=E5.86D,R&D,Full-time
SOX Compliance Manager,Plus500,Haifa,2026-04-19,https://careers.plus500.com/?pid=9E.851,Finance,Full-time
Trading Data Analyst,Plus500,Haifa,2026-04-19,https://careers.plus500.com/?pid=49.66F,Trading,
Web Software Engineer (TLV),Plus500,TEL AVIV,2026-04-15,https://careers.plus500.com/?pid=C8.753,R&D,Full-time
AI Analyst,Alice,Ramat Gan,2026-04-19,https://alice.io/positions/position-7E_66D,Intelligence,Full-time
Android Malware Research Director,Alice,Ramat Gan,2026-04-16,https://alice.io/positions/position-77_75E,Security,Full-time
Android Security Research Team Lead,Alice,Ramat Gan,2026-04-13,https://alice.io/positions/position-C8_866,Security,Full-time
Freelancer - AI CBRN Experts,Alice,New York,2026-04-19,https://alice.io/positions/position-DD_067?+Venture+Capital+job+board&gh_src=Wing+Venture+Capital+job+board,Freelancers,
Freelancer - AI Red Team Experts,Alice,New York,2026-04-14,https://alice.io/positions/position-EE_F52,Freelancers,
Freelancer - Cyber Threat Experts,Alice,New York,2026-04-17,https://alice.io/positions/position-5C_061,Freelancers,
Freelancer - GenAI Experts,Alice,New York,2026-04-15,https://alice.io/positions/position-9F_F5D,Freelancers,
Freelancer - OSINT/WEBINT Experts,Alice,New York,2026-04-18,https://alice.io/positions/position-AC_06A,Freelancers,
GenAI Account Executive,Alice,New York,2026-04-16,https://alice.io/positions/position-BB_368,Sales,Full-time
GenAI Account Executive,Alice,London,2026-04-16,https://alice.io/positions/position-BB_368,Sales,Full-time
GenAI Analyst,Alice,Ramat Gan,2026-04-19,https://alice.io/positions/position-F5_468?t=1770047638764,Intelligence,
GenAI Security Specialist,Alice,Ramat Gan,2026-04-19,https://alice.io/positions/position-00_C55?=&utm_campaign=&hsa_acc=1671889184&hsa_cam=&hsa_grp=&hsa_ad=-6720764958826854284&hsa_src=&hsa_tgt=&hsa_kw=&hsa_mt=b&hsa_net=adwords&hsa_ver=3,Intelligence,Full-time
Geopolitical Risk Project Lead,Alice,Ramat Gan,2026-04-16,https://alice.io/positions/position-60_662,Intelligence,Full-time
Infrastructure Red Team Specialist (Maternity Leave Rep),Alice,Ramat Gan,2026-04-17,https://alice.io/positions/position-15_766,Intelligence,
Intel Desk Team Lead,Alice,Ramat Gan,2026-04-16,https://alice.io/positions/position-1E_86C,Intelligence,Full-time
Intelligence Infrastructure Expert (Maternity leave replacement),Alice,Ramat Gan,2026-04-16,https://alice.io/positions/position-87_76F,Intelligence,
