title,company,location,date,url,department,workplace_type,description
Chief of Staff,Driivz,Hod Ha'Sharon,2026-05-16,https://driivz.com/es/careers-2/co/israel/3F.362/chief-of-staff/all/,G&A,Hybrid,"Description: About the job Driivz, a Vontier company, powers the e-mobility revolution with a market-leading, end-to-end EV&nbsp;Charging and&nbsp;Energy&nbsp;Management platform for global charge point operators and electric mobility service providers.&nbsp; &nbsp;We offer a scalable, integrated&nbsp;SaaS&nbsp;solution that enables our clients to efficiently manage their networks and provide EV drivers with&nbsp;exceptional&nbsp;charging experience.&nbsp; &nbsp;Operating in over 35 countries in the US,&nbsp;Europe&nbsp;and Asia, we enable hundreds of millions of events for millions of EV drivers and&nbsp;manage more than 160,000 public chargers (100,000s&nbsp;in roaming).&nbsp; Our customers include global industry leaders such as EVgo, Volvo Group, Shell, Circle K, Mer, Recharge, Kople, ESB, CEZ, MOL Group,&nbsp;ST1,&nbsp;and eMobility Power.&nbsp; &nbsp; Join our team to work alongside the most brilliant and disruptive minds that are focused on leading the eMobility industry and building a greener world. &nbsp; Key&nbsp;responsibilities: Partner&nbsp;closely&nbsp;with&nbsp;the&nbsp;CEO&nbsp;to&nbsp;translate&nbsp;strategic&nbsp;priorities&nbsp;into&nbsp;clear&nbsp;plans&nbsp;and&nbsp;execution. Act&nbsp;as&nbsp;a&nbsp;thought&nbsp;partner,&nbsp;helping&nbsp;sharpen&nbsp;ideas,&nbsp;challenge&nbsp;assumptions,&nbsp;and&nbsp;drive&nbsp;follow-through. Own&nbsp;and&nbsp;run&nbsp;the&nbsp;company-wide&nbsp;OKR&nbsp;process,&nbsp;including&nbsp;quarterly&nbsp;planning&nbsp;and&"
Analog Chip Designer,SolarEdge,Herzliya,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-85A50,R&D - ASIC,On-site,"Description: Power the Future with us! SolarEdge (NASDAQ: SEDG), is a global leader in high-performance smart energy technology, with over 3000 employees, offices in 33 countries, and millions of products installed in over 133 countries. Our diverse product offering comprises intelligent solar inverters, battery storage, backup systems, EV charging, and complete home energy management ecosystems. By leveraging world-class engineering capabilities and with a relentless focus on innovation, we strive to create a world where clean, green energy from the sun is the primary source of power for our homes, businesses, and just about everywhere we thrive. Joining the Analog ASIC group means more than designing components – it’s your chance to shape and influence the entire system through system-level innovation and end-to-end ownership, from specification to real-world implementation. Our Analog ASIC group leads chip development at the core of SolarEdge products. We collaborate closely with system, software, and hardware teams to ensure complete optimization across the entire process. We are seeking a passionate, experienced Analog Engineer to join our team. In this role, you will be responsible for designing and developing complex analog and mixed-signal ICs for SolarEdge’s cutting-edge products in the renewable energy sector. What will you be doing: Architecture planning using behavioral models for simulation of analog and mixed-signal circuits. Design, implement and verify circuit"
Assembly Technician,SolarEdge,Modi'in,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-5346D&t=1778872834363,Data centers,On-site,"Description: Power the Future with us! At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of installations worldwide.&nbsp; Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond.&nbsp; With the growing demand for electricity, the need for smart, clean energy sources is constantly rising. SolarEdge offers amazing opportunities to develop your skills in a multidisciplinary environment, covering everything from research and development to production and customer supply. Work with talented colleagues, tackle exciting challenges, and help create a sustainable future in an industry that's always evolving and innovating. Join us and be part of a company that values creativity, agility, and impactful work.&nbsp; ﻿What you will be doing: Assembly SE High Power Modules, Units, Heavy Duty Chassis and Infrastructure of leading Product for R&amp;D Teams Following assembly Instructions - giving professional fix respond to assembly to problematic Modules and Units from R&amp;D Maintain the work area and equipment in a clean and orderly condition and follow prescribed safety regulation. Oversee receiving, warehousing, distribution and arranging of the GOODs, and maintenance operations. Working in dynamic and multitasking env"
ATE Testers Technician (Level 2),SolarEdge,Nazareth Iliit,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-9376F,IL Production - Engineering,On-site,"Description: Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of installations worldwide.&nbsp; Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond.&nbsp; ﻿ By being Solaredge's ATE Testers Technicians you will be in charge for Elctro-mechanical maintenance and repair, yields monitoring for all production line testers. Repair of test stations Installing new stations in the line Perform electronic failure analysis process for company's products Determine root cause for failures under investigation and determine corrective actions with the production team Working also at shifts | Requirements: Education: Practical electrical engineer or technician Knowledge in electronics, mechanics, and software Ability to locate a fault down to the component level &nbsp;Experience in one or more relevant fields: Electronics manufacturing&nbsp; Board design Electronic failure analysis Lab equipment and test &nbsp;It would be a great advantage if you are experienced in: Electronic debug in manufacturing &nbsp;Additional Skills: Fast learner, teamwork Good verbal and written communication (English)"
ATE Testers Technicians Supervisor,SolarEdge,Nazareth Iliit,2026-05-14,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-0E76A,IL Production - Engineering,On-site,"Description: Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of installations worldwide.&nbsp; Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond.&nbsp; ﻿What will you be doing? Taking responsibility of the testing stations activity on production lines Planning, organizing, and controlling maintenance activities Organizing and controlling non-maintenance shift activities to support ATE engineers Organizing and controlling NPI activities to support ATE engineers and HQ NPI teams Creating preventive maintenance and “know-how” documentation Providing necessary training for Level 1 technicians | Requirements: Education: electrical/electronics engineer or practical engineer Knowledge in electronics, mechanics, and software Ability to locate a fault down to the component level &nbsp; Experience in one or more relevant fields: Automated testing equipment Electronics manufacturing&nbsp; Board design Electronic failure analysis Lab equipment and test &nbsp; It would be a great advantage if you are experienced in: Electronic debug in manufacturing Additional Skills: Fast learner, teamwork Good verbal and written communication (English)"
Automatic Test Equipment Engineer,SolarEdge,Nazareth Iliit,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-0B965,IL Production - Engineering,On-site,"Description: Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of installations worldwide.&nbsp; Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond.&nbsp; With the growing demand for electricity, the need for smart, clean energy sources is constantly rising. SolarEdge offers amazing opportunities to develop your skills in a multidisciplinary environment, covering everything from research and development to production and customer supply. Work with talented colleagues, tackle exciting challenges, and help create a sustainable future in an industry that's always evolving and innovating. Join us and be part of a company that values creativity, agility, and impactful work The ATE Engineer – will be responsible for leading and supporting the production line testing operations at the Sella1 site (Nof Hagalil). This role demands a hands-on engineer with strong technical acumen in electronic testing systems, production troubleshooting, and team collaboration. The engineer will play a pivotal role in ensuring high-quality standards, operational efficiency, and seamless integration with global ATE strategies. Key Responsibilities: Lead and mentor a team of engineers and technician"
Automation Software Engineer,SolarEdge,Herzliya,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-0A567&_gl=1*yn97cs*_up*MQ..*_ga*OTUzOTkyOTYuMTc3ODk2MzU4NA..*_ga_EB80EEY8WM*czE3Nzg5NjM1ODQkbzEkZzEkdDE3Nzg5NjM1ODkkajU1JGwwJGgw*_ga_VLCW84G8SB*czE3Nzg5NjM1ODQkbzEkZzEkdDE3Nzg5NjM1ODkkajU1JGwwJGgw,Q&R,On-site,"Description: Power the Future with us! SolarEdge (NASDAQ: SEDG), is a global leader in high-performance smart energy technology, and millions of products installed in over 133 countries. Our diverse product offering comprises intelligent solar inverters, battery storage, backup systems, EV charging, and complete home energy management ecosystems. By leveraging world-class engineering capabilities and with a relentless focus on innovation, we strive to create a world where clean, green energy from the sun is the primary source of power for our homes, businesses, and just about everywhere we thrive. &nbsp; Responsibilities: End-to-End responsibility of development process: from requirements till implementation including post-release support Design, Development and Integration of C# based code modules Close work with the rest of Q&amp;R team on mutual projects Software Development of automated hardware tests, drivers, protocols Working on new projects as well as supporting existing ones Production issues support and failures analysis &nbsp; | Requirements: At&nbsp;least&nbsp;BSc&nbsp;degree 2 years of experience in working with .Net frameworks in C# Experience with instruments programming, software debugging, integration and testing. Understanding of communication protocols, i.e. RS232, RS485, Mode-Bus, Ethernet- Advantage Excellent Communication skills in Hebrew and in English Ability to work under pressure &amp; ability to give attention to details while managing multiple task"
Battery Test Engineer,SolarEdge,Modi'in,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-93964&_gl=1*105acgj*_up*MQ..*_ga*MTQ5MTgxNTE0NC4xNzc3OTMwNTI5*_ga_VLCW84G8SB*czE3Nzc5MzA1MjgkbzEkZzEkdDE3Nzc5MzA1ODMkajUkbDAkaDA.*_ga_EB80EEY8WM*czE3Nzc5MzA1MjkkbzEkZzEkdDE3Nzc5MzA1ODMkajYkbDAkaDA.,Battery Systems,On-site,"Description: Job Description Power the Future with Us! SolarEdge (NASDAQ: SEDG) is a global leader in high-performance smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of products installed in more than 133 countries. Our diverse product offering includes intelligent solar inverters, battery storage, backup systems, EV charging, and complete home energy management ecosystems. With world-class engineering and a relentless focus on innovation, we are creating a world where clean, green energy from the sun powers our homes, businesses, and communities. We are looking for a Battery Test Engineer to join our advanced energy storage team. This is a hands-on, data-driven role where you will manage lab experiments, analyze results, and contribute to the development of cutting-edge battery management algorithms. If you are detail-oriented, analytical, and passionate about technology — we want to meet you! Responsibilities: Plan, execute, and monitor battery experiments in the lab, ensuring accurate data collection and documentation. Analyze experimental data using Excel, MATLAB, or Python , applying statistical methods to extract insights. Collaborate with cross-functional teams including hardware, software, and system engineers to integrate algorithms into production systems. Troubleshoot issues, perform root cause analysis, and maintain structured knowledge for future reference. Document research findings, algorithm logic, and validation resu"
Battery Test Technician,SolarEdge,Modi'in,2026-05-16,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-7BA61,Battery Systems,On-site,"Description: Power the Future with Us! &nbsp; SolarEdge (NASDAQ: SEDG) is a global leader in high-performance smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of products installed in more than 133 countries. Our diverse product offering includes intelligent solar inverters, battery storage, backup systems, EV charging, and complete home energy management ecosystems. With world-class engineering and a relentless focus on innovation, we are creating a world where clean, green energy from the sun powers our homes, businesses, and communities.&nbsp; We are looking for a&nbsp;Battery&nbsp;Test Technician&nbsp;to join our advanced energy storage&nbsp;R&amp;D group.&nbsp;The team is in&nbsp;responsible&nbsp;to develop, test and validate&nbsp;battery safety features.&nbsp; &nbsp; Responsibilities: &nbsp; Plan, execute, and monitor battery experiments in the lab, ensuring accurate data collection and&nbsp;documentation.&nbsp; Responsible for maintaining, improving&nbsp;and&nbsp;running of test lab&nbsp;and its equipment.&nbsp;&nbsp; Collaborate with cross-functional teams including hardware, software, and system engineers to integrate algorithms into production systems.&nbsp; Troubleshoot issues, perform root cause analysis, and maintain structured knowledge for future&nbsp;reference.&nbsp; | Requirements: A Practical engineer in&nbsp;electronics/electrical engineering or equivalent is essential.&nbsp; Prototyping, machining&nbsp;and&nbsp;fabr"
BI Development Team Leader,SolarEdge,Herzliya,2026-05-13,https://corporate.solaredge.com/en/careers/open-positions?position=comeet-06864,IT,Hybrid,"Description: Power the Future with us! At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 3,000 employees, offices in 34 countries, and millions of installations worldwide.&nbsp; Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond.&nbsp; With the growing demand for electricity, the need for smart, clean energy sources is constantly rising. SolarEdge offers amazing opportunities to develop your skills in a multidisciplinary environment, covering everything from research and development to production and customer supply. Work with talented colleagues, tackle exciting challenges, and help create a sustainable future in an industry that's always evolving and innovating. Join us and be part of a company that values creativity, agility, and impactful work.&nbsp; SolarEdge is expanding its data and analytics capabilities and is seeking a BI Development Team Leader to lead a team of talented BI developers. The role includes end‑to‑end ownership of development, delivery, and implementation of advanced BI solutions using Qlik Sense, Power BI, and AI‑driven tools. This position requires strong technical expertise, business acumen, and the ability to collaborate with global business units to deliver impactful, data‑driven insights. Responsibilities: Lead, mentor, and devel"
