title,company,city,date,url,department,workplace_type,description,requirements
Cybersecurity Technical Account Manager,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/cybersecurity-technical-account-manager/,עוגיהnevercache-b39818,fulltime,,
FinOps Analyst למחלקת המגזר הציבורי באשכול הייעוץ,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/5/,עוגיהnevercache-b39818,fulltime,"ניתוח נתונים פיננסים של עלויות וביצועים בשירותי הענן, על מנת לבצע אופטימיזציה של העלויות
זיהוי הזדמנויות לאופטימיזציה והפחתת עלויות, מעקב אחר הזדמנויות לפתרון
להוות גורם מומחה לנושא אסטרטגיות מומלצות לניהול פיננסי בענן, מנגנוני ניהול עלויות וארכיטקטורת ענן חסכונית
בניית דוחות לצורך מעקב/ ניתור/ ניתוח/ שימוש בענן
הכנה תקציב, תחזיות ומעקב אחר הוצאות בענן","?
תואר ראשון בכלכלה/ חשבונאות - חובה
בעל.ת תעודת רו""ח או כלכלן.ית עם ניסיון של שנה לפחות בבקרה/ ניהול פרויקטים/ ניתוח נתונים כלכליים - חובה
יכולות אנליטיות גבוהות והיכרות עם כלי BI (כגון PowerBI, QLIK, Looker)
ניסיון בניהול סביבות ענן GCP, AWS - יתרון
היכרות/ניסיון בעבודה עם כלי Cloud Cost analysis- יתרון"
International indirect taxes,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/international-indirect-taxes/,עוגיהnevercache-b39818,fulltime,,
Manager/Senior for our US tax compliance practice,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/manager-senior-for-our-us-tax-compliance-practice/,עוגיהnevercache-b39818,fulltime,,
Senior Cybersecurity Consultant,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/4/,עוגיהnevercache-b39818,fulltime,,
US Transaction Tax Manager,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/us-transaction-tax-manager/,עוגיהnevercache-b39818,fulltime,,
חשב-ת שכר למחלקת המיסים,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/21/,עוגיהnevercache-b39818,fulltime,"חשבות שכר לחברות רב-לאומיות
חישובי שכר ובקרות שוטפות
עבודה מול לקוחות בארץ ובחו""ל","?
תעודת חשב/ת שכר בכיר/ה
ניסיון של 2–5 שנים בתחום
שליטה מלאה באקסל
אנגלית ברמה גבוהה (קריאה, כתיבה, דיבור)
ניסיון בעבודה עם תוכנות שכר (חילן / רגל) – יתרון
יחסי אנוש מעולים, סדר, דיוק ותודעת שירות גבוהה"
יועצ-ת ארגוני למחלקת המגזר הציבורי,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/orginaization-consultant/,עוגיהnevercache-b39818,fulltime,"ליווי והטמעת תהליכי שינוי וטרנספורמציה ארגונית
בניית תוכניות עבודה וליווי ביישומן
גיבוש תפיסות הפעלה ליחידות קיימות / חדשות
ליווי מנהלים וצוותים בתהליכי שינוי
הובלת תהליכי מדידה, בקרה ושיפור מתמיד
עבודה בצוותים רב-תחומיים ובסביבה דינמית","?
תואר שני בייעוץ ארגוני / פיתוח והתנהגות ארגונית- חובה
ניסיון של 1-3 שנים בייעוץ ארגוני - חובה
כישורי למידה גבוהים ויכולת למידה עצמאית
יחסי אנוש ותקשורת בינאישית מצוינים ותודעת שירות גבוהה
יכולות פרזנטציה והעברת מסרים בכתב ובעל פה למקבלי החלטות וגורמים בכירים
שליטה מלאה ביישומי Office
ניסיון בעבודה עם המגזר הציבורי - יתרון
ניסיון בעבודה בחברת ייעוץ - יתרון"
יועץ-ת בתחום ניהול הספרים,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/12/,עוגיהnevercache-b39818,fulltime,"ניהול תיקי לקוחות בתחום ניהול הספרים ויעוץ שוטף
מתן מענה מקצועי שוטף בנושאי ניהול ספרים ללקוחות המשרד, בין בישראל ובין בחו""ל
ניהול פרויקטים מול לקוחות ומשרדי EY בחו""ל
ייעוץ בהטמעת מערכות ניהול ספרים מבחינת עמידה בהוראות החוק המקומיות
הכנת בקשות לרשות המיסים וטיפול בתהליכים מול נציגי רשות המיסים בעולם ניהול הספרים
הכנת מסמכי ליווי בתהליכי בקרות ציות וחוות דעת
סיוע בפיתוח הצוות, מעורבות בפגישות שיווק ומכירה","?
כלכלן/עו""ד עם ניסיון פרקטי של שנה לפחות בעולם המיסוי
הבנה בתחום ניהול ספרים - יתרון
הבנה בתחום ניהול ספרים - יתרון
יכולות כתיבה וניסוח בעברית ואנגלית ברמה טובה מאוד"
יועץ-ת כלכלי-ת טכנולוגי-ת לצוות ניהול סיכונים בתאגידים פיננסיים,EY Israel,Tel Aviv,2026-05-13,https://ey.co.il/open-jobs/tech-finance-consultant/,עוגיהnevercache-b39818,fulltime,"הבנה עסקית וטכנולוגית של תהליכי עבודה בדגש על ממשקים בין התהליכים העסקיים לבין הטכנולוגיה התומכת
עבודה מול דרגי ניהול בתאגידים פיננסיים מובילים
תמיכה בתהליכי ניהול סיכונים בתאגידים פיננסיים ובפינטקים
עבודה בסביבה תומכת המשלבת למידה, צמיחה והתנסות מעשית
הזדמנות לעבוד מול חברות מובילות בארץ ובעולם
עבודה מול שלוחות הפירמה הבינלאומיות בחו""ל","?
תואר ראשון בתעשייה וניהול (מערכות מידע)/ כלכלה/ פכ""מ- חובה
תואר שני - יתרון
ראייה טכנולוגית ואוריינטציה לתחום מערכות מידע
ניסיון רלוונטי בגוף פיננסי, רגולטור או חברת ייעוץ- יתרון משמעותי
יכולת התנסחות ברמה גבוהה בעברית ובאנגלית"
