title,company,location,date,url,source,job_id,description,requirements
Automation Engineer בחברת סטארט-אפ העוסקת בסייבר התקפי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/144332/,gotfriends,144332,"החברה מציעה ללקוחותיהם מערכת סייבר רחבה בה הם יכולים לראות בדיוק כמה מטרות נחדרו על ידי הפריצות שלהם ואיזה מידע הושג (בעיקר מחשבים, ניידים וחשבונות ענן), ובעיקר על מערכות Windows. מונה כיום 150 איש, כולם יושבים בארץ, ממוקמים בתל אביב. מהות התפקיד: פיתוח תשתיות אוטומציה ב-Python כחלק מצוות, מעל Linux, Docker, Git, Jenkins ו-Pytest.",- 4 שנות ניסיון בפיתוח תשתיות ב-Python - ניסיון בפיתוח מעל Linux
Full Stack בחברת סטארט-אפ העוסקת בסייבר התקפי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/143867/,gotfriends,143867,"חברת סטארט אפ העוסקת בסייבר התקפי. החברה הוקמה לפני כעשור, מונה כיום 150 איש, כולם יושבים בארץ. החברה הוקמו ע""י בכירים בתעשיית הסייבר! עדיין מתחת לרדאר. הם מציעים ללקוחותיהם מערכת סייבר רחבה בה הם יכולים לראות בדיוק כמה מטרות נחדרו על ידי הפריצות שלהם ואיזה מידע הושג (בעיקר מחשבים, ניידים וחשבונות ענן), ובעיקר על מערכות Windows. החברה מאוד מבוססת ומתאפיינת בעובדים עם פרופילי הצטיינות, רובם יוצאי יחידות. התפקיד כולל פיתוח ב C# Core, אנגולר12. החלוקה בערך 50-50 בין Client ל Server, מדובר בצוות בBackend שנותן שירות לכל הפלטפורמות שיש בחברה! זה תפקיד חדש בצוות של 6 מפתחים , פוזיציה ראשונה שתכתוב בסטאק הנ""ל בתוך הצוות. יושבים בתל אביב ליד קו רכבת ומשלבים מודל עבודה היברידי.",- 4 שנות ניסיון #C - שנתיים של ניסיון Angular / React / Vue
Full Stack Team Leader בחברת הייטק בתחום אנרגיה ירוקה ומתחדשת בצפון,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/144603/,gotfriends,144603,"החברה עוסקת בפיתוח מערכות ביטחוניות בסיווג גבוה. מוצר הדגל של החברה הוא מערכת השליטה והבקרה של ""כיפת ברזל"". פיתחו מערכות תשתית לנושאי שליטה ובקרה ועל בסיסן פיתחה החברה מרכזי שליטה ובקרה ייעודיים, בין השאר לחברות ציבוריות. לחברה מספר סייטים ברחבי הארץ, משלבים עבודה היברידית. מהות התפקיד: ניהול של 5-6 עובדים, כ-70% Hands On. פיתוח Backend בעיקר עם .Net, C#, WPF, MongoDB ,NoSQL, Kubernetes, Docker, Microservices סביבת Desktop.",- 5 שנות ניסיון בפיתוח ב-#C - שנתיים ניסיון בניהול צוותים - ניסיון עם WPF
Java Developer בחזית הטכנולוגיה הביטחונית בצפון,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/144593/,gotfriends,144593,"החברה עוסקת בפיתוח מערכות ביטחוניות בסיווג גבוה. מוצר הדגל של החברה הוא מערכת השליטה והבקרה של ""כיפת ברזל"". פיתחו מערכות תשתית לנושאי שליטה ובקרה ועל בסיסן פיתחה החברה מרכזי שליטה ובקרה ייעודיים, בין השאר לחברות ציבוריות. לחברה מספר סייטים ברחבי הארץ, משלבים עבודה היברידית. המאפשרת תנאים מעולים ומתחשבת באיזון בית עבודה. מהות התפקיד: פיתוח תוכנה כחלק מחטיבת פיתוח, כפיפות לראש צוות פיתוח. עבודה עם Java, Spring, MongoDB, NoSQL, Kubernetes, Docker, Microservices סביבת Linux.",- 3 שנות ניסיון בפיתוח ב-Java - ניסיון בפיתוח ב-Spring/JavaFX
QA Engineer בחברת סטארט-אפ בתחום הסייבר ההתקפי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/144489/,gotfriends,144489,"מדובר בחברה המציעה ללקוחותיה מערכת סייבר רחבה בה יכולים הלקוחות לראות בדיוק כמה מטרות נחדרו על ידי הפריצות שלהם ואיזה מידע הושג- מחשבים, ניידים וחשבונות ענן ובעיקר על מערכות Windows. החברה ממוקמת בתל אביב, משלבת מודל עבודה היברידי ומונה 150 עובדים. מהות התפקיד:100% בדיקות לצד Backend של מערכת Desktop מורכבת מעל Linux. סטאק טכנולוגי: Linux, RESTful API, Jenkins, Bamboo, ADB, Agile.",- שנתיים ניסיון בבדיקות Server - ניסיון בפיתוח מעל Linux - ניסיון בפיתוח API/Web
Full Stack Developer בחברת סטארט-אפ בתחום הסייבר ההתקפי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/143858/,gotfriends,143858,"מדובר בחברה המציעה ללקוחותיה מערכת סייבר רחבה בה יכולים הלקוחות לראות בדיוק כמה מטרות נחדרו על ידי הפריצות שלהם ואיזה מידע הושג- מחשבים, ניידים וחשבונות ענן ובעיקר על מערכות Windows. החברה ממוקמת בתל אביב, משלבת מודל עבודה היברידי ומונה 150 עובדים. מהות התפקיד: הצטרפות לצוות של 6 מפתחים. פיתוח ב-C#, Core, Angular12. החלוקה בערך 50-50 בין Client ל-Server.",- 4 שנות ניסיון בפיתוח #C - שנתיים ניסיון בפיתוח ב-Angular/React/Vue
Low Level Developer בחברת סטארט-אפ העוסקת בסייבר התקפי,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/יחד-ננצח-משרות-הייטק/143434/,gotfriends,143434,"הם מציעים ללקוחותיהם מערכת סייבר רחבה בה יכולים הלקוחות לראות בדיוק כמה מטרות נחדרו על ידי הפריצות שלהם ואיזה מידע הושג (בעיקר מחשבים, ניידים וחשבונות ענן). החברה מאוד מבוססת ומתאפיינת בעובדים עם פרופיל הצטיינות, רובם יוצאי יחידות. מונה כיום 150 איש, כולם יושבים בארץ, ממוקמים בתל אביב. מהות התפקיד: תפקוד כחלק מצוות, יש להם כמה תקנים, חלק באזורי Windows וחלק Linux.",- 3 שנות ניסיון בפיתוח ++C מעל Windows/Linux
Backend משרת רילוקיישן בחברת סטארט-אפ,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/tech-relocation-positions/142949/,gotfriends,142949,"חברת סטארט-אפ מבטיחה מציעה הזדמנות ייחודית של רילוקיישן למערב אירופה. ישנם לקוחות אשר מצפים למוצר. החברה מונה כיום עשרות עובדים ולאור הביקוש וההשקעה הגבוהה ישנו צפי לגיוס עשרות עובדים כבר בשנה הקרובה, כך שזוהי הזדמנות חד פעמית להצטרף ל Core-Team של סטארט-אפ מבטיח ולבצע רילוקיישן למערב אירופה. תנאים מעולים למתאימים הכוללים חבילת רילוקיישן לכל המשפחה! פיתוח מאפס ותכנון ארכיטקטורת microservices , מפתחים ב Python ו GO, kubernetes, message brokers , GraphQL.",תואר ראשון טכנולוגי 6 שנות ניסיון פיתוח Backend/FullStack ניסיון פיתוח ב- Python/GO ניסיון עבודה עם microservices
Senior Low-level Developer (C++) משרת רילוקיישן בחברת סטארט-אפ שמציעה תנאים מעולים!,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/tech-relocation-positions/142707/,gotfriends,142707,"חברת סטארט-אפ מבטיחה מציעה הזדמנות ייחודית של רילוקיישן למערב אירופה. ישנם לקוחות אשר מצפים למוצר. החברה מונה כיום עשרות עובדים ולאור הביקוש וההשקעה הגבוהה ישנו צפי לגיוס עשרות עובדים כבר בשנה הקרובה, כך שזוהי הזדמנות חד פעמית להצטרף ל Core-Team של סטארט-אפ מבטיח ולבצע רילוקיישן למערב אירופה. תנאים מעולים למתאימים הכוללים חבילת רילוקיישן לכל המשפחה. התפקיד כולל פיתוח ++C תוך התמחום ב OS internals (יש תקנים ל win/Linux/mobile).",3 שנות ניסיון פיתוח ב- C\C++ (HL\LL) התמחות עם מערוכת הפעלה Linux\Windows תואר ראשון טכנולוגי / יוצאי/ות יחידה טכנולוגית
Cloud DevOps Engineer משרת רילוקיישן למיאמי או הונג קונג,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/tech-relocation-positions/143994/,gotfriends,143994,"חברה מרשימה אשר גייסה מקרן גידור- הקרן השנייה בגודלה בעולם! מנהלים תקציב של 44 מיליארד דולר! מפתחים מערכת המאפשרת לסוחרים של החברה לבצע תמחור+ חישוב סיכונים + מעקב אחר מצב השוק בלייב. הקימו בארץ מרכז פיתוח וחדשנות העוסק בפיתוח כלים חדשניים מאפס בתחום הפיננסי לאופטימיזציה של תהליך המסחר. עובדים עם הטכנולוגיות הכי מתקדמות כיום !! לפני כשנתיים החלו לעבוד על המוצר, מערכות חדשות וייחודיות. מונים 4,000 עובדים גלובלית, 30 עובדים בארץ. משלבים יום עבודה אחד מהבית. מהות התפקיד: עבודה כחלק מצוות, כפיפות לראש קבוצת DevOps, עבודה עם : GCP, Python, Linux, Kubernetes, CI/CD pipelines, application tests, security tests, gates, Chef, Ansible, Salt, Terraform.",- 3 שנות ניסיון כ-DevOps - ניסיון בפיתוח מעל Linux - ניסיון בפיתוח עם Cloud - ניסיון בפיתוח CD/CI
