title,company,location,date,url,department,workplace_type,description,requirements
Full Stack Team Lead בחברת סטארט-אפ בתחום ה-AI הגנרטיבי,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153855/,Software Development,Hybrid,"החברה מפתחת פלטפורמת AI ארגונית (B2B) לארגוני Enterprise שמאפשרת להטמיע ולעבוד עם מודלי GenAI בצורה מאובטחת, מבוקרת וסקיילבילית. החברה ממוקמת בתל אביב- קו רכבת, משלבת מודל עבודה היברידי ומונה עשרות עובדים. מהות התפקיד: כפיפות ל-VP Engineering, ניהול צוות של 4 מפתחים, Hands On בפיתוח (50\50) React, Next.js, Node.js,  Nest.js, עבודה עם OpenShift, CI/CD, Kubernetes, עבודה עם כלי AI.",- שנתיים ניסיון ניהולי - ניסיון בפיתוח ב-Node - ניסיון בפיתוח ב-React
Data Engineer בחברת סטארט־אפ,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/data-engineer/153856/,Software Development,Hybrid,"החברה פיתחה פלטפורמה המספקת כלי אנליזה לבעלי חנויות בפלטפורמת ה-Ecommerce, Shopify שמאפשר לחנויות מקוונות למדוד את התוצאות העסקיות שלהן. החברה ממוקמת בירושלים, משלבת מודל עבודה היברידי ומונה עשרות עובדים. מהות התפקיד: חלק מצוות של 3 אנשי Data, תחת מנהלת הצוות. מפתחים מערכות Data  ב-Scales מאוד גבוהים, כותבים ב-Node ו-TypeScript. עובדים בסטאק של SQL, BigQuery, Terraform, Ansible, ETL.",- 4 שנות ניסיון בתפקידי Data Engineer - ניסיון בפיתוח ב-Node/Python - ניסיון בפיתוח SQL - ניסיון בעבודה עם ClickHouse/BigQuery/Redshift/Snowflake
Low Level Developer & Security Researcher בחברת סטארט-אפ בתחום ה-Cyber התקפי,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153847/,Software Development,Hybrid,"החברה מפתחת מוצרים בעולם הסייבר הנותנים מענה מודיעיני על מנת להילחם בטרור ובפשע מאורגן. החברה ממוקמת בתל אביב- קו רכבת קלה, משלבת מודל עבודה היברידי ומונה מאות עובדים. מהות התפקיד: שילוב מחקר ופיתוח Hands-on, חלק מליבת המוצר ועבודה על פתרונות חדשניים בקצה הטכנולוגיה- משלב המחקר ועד פיתוח מערכות Production. סטאק טכנולוגי: C/C++, Rust, Go, Linux.",- 4 שנות ניסיון בפיתוח Low Level ב-C/C++/Rust/Go - ניסיון בפיתוח מעל Linux - ניסיון מוכח ב-Reverse Engineering - ניסיון עם אחד או יותר מהכלים- IDA Pro/JEB/Frida
Engineering Team Lead בחברה טכנולוגית,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153848/,Software Development,Hybrid,"החברה מפתחת פלטפורמת בינה מלאכותית לניתוח אינטראקציות מכירה (שיחות, וידאו, אימיילים), המספקת תובנות לשיפור ביצועי צוותי מכירות, חיזוי הכנסות וניהול עסקאות, עם שווי שהוערך בכמה מיליארדים. החברה ממוקמת באזור המרכז- קו רכבת+ רכבת קלה, משלבת מודל עבודה היברידי ומונה אלפי עובדים. מהות התפקיד: תקן ניהולי של צוות שמונה 3-5 מפתחים. כ-40-50% Hands On, הצוותים אחראיים על שני מוצרים- Data Source ו-Runtime. כותבים ב-Java Springboot, מעל Kubernetes, AWS, PostgreSQL, MongoDB, OpenSearch, יש הרבה אחראיות על הרמת סרביסים, מוניטורינג, מתן פתרונות לאנשי אפליקציה, בניית אוטומציה וכלי ניהול לניהול Data Sourcing.",- 8 שנות ניסיון בפיתוח - שנתיים ניסיון ניהולי - ניסיון בפתיוח ב-Java/Kotlin - ניסיון בפיתוח ב-Spring
Security Architect בחברת סטארט-אפ רווחית בתחום הסייבר,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/ארכיטקט-תוכנה/153845/,Software Development,Hybrid,"החברה מפתחת מערכת המאפשרת למפתחים להטמיע בקלות טכניקות אימות ביומטרי מתקדמות, כמו טביעת אצבע, סלפי, זיהוי קולי או הודעת טקסט ביישומים. החברה ממוקמת בתל אביב- קו רכבת, משלבת מודל עבודה היברידי ומונה מאות עובדים. מהות התפקיד: כפיפות למנהל הפיתוח. בניית פלטפורמת אבטחת זהויות, עיצוב והתפתחות ארכיטקטורת האבטחה של כלל שירותי ה-SaaS. מיקוד בצמצום פרואקטיבי של סיכוני אבטחה באמצעות ביצוע סקירות ארכיטקטורה, מתן הנחיות וממשל לתוכניות אבטחה, ניהול הדרכות אבטחת אפליקציות, גיבוש תוכניות AppSec ו-Infrastructure Security, הטמעת ידע ותרבות של AppSec בצוותים, ביצוע Security Reviews ו-Thread Modeling, ניתוח Product Security, עיצוב הגישה, הקמת תוכניות AppSec ו-DevSecOps ועוד.",- 8 שנות ניסיון בתפקידי Security Architect - רקע מעולמות של מחקר/פיתוח - רקע מחברות Security - ניסיון בעולמות של אוטנטיקציה/זהויות
Senior Software Engineer בחברת הייטק בתחום ה-Cloud Networking ו-Cyber Security,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153860/,Software Development,Hybrid,"החברה מפתחת פתרונות מתקדמים המחברים בין Edge ל-Cloud המאפשרים לארגונים לנהל, להגן ולנתח את ה-Data והאפליקציות שלהם מכל מקום. החברה ממוקמת בתל אביב- קו רכבת קלה, משלבת מודל עבודה היברידי ומונה אלפי עובדים בעולם, מאות בתוכם בארץ. מהות התפקיד: חלק מצוות Network Security, בדיווח לראש הצוות. קוד ב-GO, פיתוח E2E, כולל Design, טסטים. עבודה בסביבת AWS, עם Microservices, Kubernetes. מדובר במוצר ב-Production עם עשרות לקוחות Enterprise.",- 6 שנות ניסיון בפיתוח Backend - ניסיון בפיתוח ב-GO/C++/C - ניסיון מחברות Networking מהקדנציה הנוכחית - ניסיון בפיתוח עם Cloud
Software Team Leader בחברת סטארט-אפ בתחום Deep-Tech,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153836/,Software Development,Hybrid,"החברה מפתחת פלטפורמה מבוססת AI מאפס, שמטרתה לשפר ביצועי רשת בזמן אמת, לייעל תעבורת נתונים בסביבות מורכבות ולמנוע צווארי בקבוק שמאטים מערכות AI. החברה ממוקמת באזור המרכז- קו רכבת, משלבת מודל עבודה היברידי ומונה כ-5 עובדים. מהות התפקיד: פיתוח בשילוב ניהול+ Hands On עמוק+ הובלת ארכיטקטורה. 	הקמה והובלה של צוות מאפס, ניהול צוות מולטי-דיסציפלינרי (AI/ML, Networking, Linux, Cloud), פיתוח מערכות מורכבות ב-Scale גבוה (Python, C++), הובלת תהליכי Deployment מקצה לקצה ללקוחות Tier-1 ועבודה על מוצר ליבה עם השפעה ישירה.",- שנתיים ניסיון ניהולי - 6 שנות ניסיון בפיתוח - ניסיון בפיתוח ב-Python - ניסיון בפיתוח ב-++C
Senior Software Engineer בחברת סטארט-אפ בתחום הסייבר,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153817/,Software Development,Hybrid,"החברה מפתחת פלטפורמה חדשנית לביצוע בדיקות חדירות (Pen Testing) באופן אוטומטי ומתמשך באמצעות אייגנטים של AI. החברה ממוקמת בתל אביב- קו רכבת קלה, משלבת מודל עבודה היברידי ומונה עשרות עובדים. מהות התפקיד: הצטרפות לצוות הפיתוח, בתפקיד Full-Stack. סטאק טכנולוגי: TypeScript, NodeJS, React, AWS, Docker, Kubernetes, MongoDB.",- 6 שנות ניסיון בפיתוח - ניסיון בפיתוח ב-Node\Python\GO - ניסיון בפיתוח ב-React - ניסיון בפיתוח ב-TypeScript
Data Engineer בחברת סטארט־אפ,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/data-engineer/153820/,Software Development,Hybrid,"החברה פיתחה פלטפורמה המספקת כלי אנליזה לבעלי חנויות בפלטפורמת ה-Ecommerce, Shopify שמאפשר לחנויות מקוונות למדוד את התוצאות העסקיות שלהן. החברה ממוקמת בירושלים, משלבת מודל עבודה היברידי ומונה עשרות עובדים. מהות התפקיד: חלק מצוות של 3 אנשי Data, תחת מנהלת הצוות. מפתחים מערכות Data  ב-Scales מאוד גבוהים, כותבים ב-Node ו-TypeScript. סטאק טכנולוגי: SQL, BigQuery, Terraform, Ansible, ETL.",- 4 שנות ניסיון בתפקידי Data Engineer - ניסיון בפיתוח ב-Node/Python - ידע חזק מאוד ב-SQL - ניסיון בעבודה עם ClickHouse/BigQuery/Redshift/Snowflake
Senior Software Engineer בחברת סטארט-אפ,GotFriends,Israel,2026-05-17,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153831/,Software Development,Hybrid,"החברה מפתחת מוצר שמציל חיי אדם. המוצר מבוסס AI, מנטר את מצב הקשישים בביתם ומסייע לחברות סיעוד לבנות תוכניות טיפול איכותיות, לחזות ולמנוע סיכונים. החברה ממוקמת בתל אביב- קו רכבת, משלבת מודל עבודה היברידי ומונה עשרות עובדים. מהות התפקיד: עבודה בצוות הפיתוח בדיווח לראש הצוות, פיתוח פלטפורמה ללקוחות החברה בדגש על פיתוח ה-Core Backend ב-NodeJS, מעט פיתוח Frontend עם TypeScript. שימוש בכלי AI חדשניים.",- 5 שנות ניסיון בפיתוח Backend - ניסיון בפיתוח ב-NodeJS או Python או GO - ניסיון בפלטפורמות SaaS - ניסיון בעבודה עם כלי AI
