title,company,location,date,url,department,workplace_type,description
קול קורא למועמד.ת לתפקיד מנהל.ת הבית חולים,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-987/,,onsite,":
ניהול והובלת הפעילות המלאה של בית החולים, בדגש על שילוב בין איכות הטיפול למצויינות קלינית ושמירה על בטיחות הצוות והמטופלים
השתתפות פעילה בתהליך קבלת החלטות וקביעת תוכנית רב שנתית בנוגע לפעילות מחלקות בית החולים
יוזמות וקידום תוכניות אסטרטגיות לצמיחה ופיתוח בית החולים
ניהול צוותי עובדים, הובלת צוותים והכוונה אישית
הבטחת עמידות בתקנים רגולטוריים ויישום שיפורים רפואיים
מעקב אחרי ביצוע התקציב והשימור של כללי המשאבים הכלליים
בניית יחסי שותפות חיוביים עם הצוות הרפואי, ההנהלה ושותפים חיצוניים"
דרוש/ה למערך הלב מתאמ/ת מחקרים ליחידת המחקר בהדסה עין כרם,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/research-and-development/position-230/,,onsite,
"דרוש/ה למחלקת קרדיולוגיה רופא/ה עם רישיון מלא בישראל, לחצי משרה (50%)",הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/research-and-development/position-229/,,onsite,"המשרה:
העבודה כוללת מעקב מרפאתי בחולים המגוייסים למחקרים קליניים בקרדיולוגיה. נסיון במחקרים קליניים יתקבל בברכה.
העבודה מתאימה בין היתר לפנסיונרים ולעולים חדשים."
לקרן מחקרים - דרוש/ה מתאמ/ת מחקר ליחידת המחקר הקליני בסוכרת,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/research-and-development/position-223/,,onsite,"המשרה:
תיאום וליווי מחקרים קליניים משלב ההקמה ועד סיום.
הגשות לוועדות רגולטוריות.
עבודה מול צוותים רפואיים, מטופלים, ונותני חסות.
איסוף נתונים, תיעוד והבטחת איכות."
לקרן מחקרים - דרוש/ה עובד/ת מעבדה למערך רפואת עיניים בקמפוס עין כרם,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/research-and-development/position-222/,,onsite,"המשרה:
שימוש בשיטות של ביולוגיה מולקולרית, גנטיקה וביוכימיה.
עבודה עם שורות תאים ועכברי מעבדה.
הדרכה ותמיכה מקצועית בעבודת תלמידים במעבדת המחקר.
סיוע בניהול השוטף של המעבדה כולל הזמנות חומרים ועבודה מול ספקים."
דרוש.ה מוקדן/ית לזימון תורים - הדסה הר הצופים,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-714/,,onsite,":
זימון תורים ושירות לקוחות.
מענה טלפוני ושיחות יזומות למטופלים.
עבודה בסביבה ממוחשבת."
דרוש.ה עובד/ת מעבדה במעבדה לוירולוגיה קלינית,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-673/,,onsite,
דרוש.ה מזכיר/ה לבית ספר לסיעוד,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-696/,,onsite,
דרוש.ה סטודנט/ית למוקד לרפואה דחופה - הדסה עין כרם,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-697/,,onsite,":
מענה טלפוני וקבלת קהל פרונטלית
טיפול בטפסים וניירת.
עבודה מול מחשב.
עבודה במשמרות 24/7 כולל סופ""ש וחגים."
דרוש.ה סטודנט/ית ליחידת ריאות ילדים,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-686/,,onsite,
דרוש.ה מזכיר/ה להדסה מדיקל,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-674/,,onsite,
דרוש.ה קצינ/ת בטחון להדסה עין כרם- 50% משרה,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-669/,,onsite,
דרוש/ה סטודנט/ית מזכיר/ה במחלקת חדרי לידה,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-668/,,onsite,
דרוש.ה מנהל/ת מערך הטקסטיל,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-658/,,onsite,
דרוש/ה עובד/ת מטבח חלב בהדסה הר הצופים - 50% משרה,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-667/,,onsite,
רכז/ת פרויקטים - משרה זמנית עד אפריל 2027,הדסה,Jerusalem,2026-05-14,https://he.hadassah.org.il/wanted/position-666/,,onsite,
