title,company,location,date,deadline,url,job_code,department,workplace_type,description,requirements
ראש מדור ביקורים ואירועים מגביתיים באגף קשרי חוץ,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/4526-%d7%a8%d7%90%d7%a9-%d7%9e%d7%93%d7%95%d7%a8-%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%99%d7%9d-%d7%95%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d-%d7%9e%d7%92%d7%91/,4526,,onsite,,
מנהל/ת מעבדה בראשות פרו'פ מייקל לזר בבית הספר למדעי הים,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/4126-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%91%d7%a8%d7%90%d7%a9%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%a4-%d7%9e%d7%99%d7%99%d7%a7%d7%9c/,4126,,onsite,,
כותב/ת ומומחה/ית תוכן באנגלית לגיוס משאבים,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/3326-%d7%9b%d7%95%d7%aa%d7%91-%d7%aa-%d7%95%d7%9e%d7%95%d7%9e%d7%97%d7%94-%d7%99%d7%aa-%d7%aa%d7%95%d7%9b%d7%9f-%d7%91%d7%90%d7%a0%d7%92%d7%9c%d7%99%d7%aa-%d7%9c/,3326,,onsite,,
מנהל/ת מעבדה בראשות פרופ' טלי מס,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/2026-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%91%d7%a8%d7%90%d7%a9%d7%95%d7%aa-%d7%a4%d7%a8%d7%95%d7%a4-%d7%98%d7%9c%d7%99-%d7%9e%d7%a1/,2026,,onsite,,
מהנדס/ת מעבדת רכבים תת ימיים,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/1126-%d7%9e%d7%94%d7%a0%d7%93%d7%a1-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%aa-%d7%a8%d7%9b%d7%91%d7%99%d7%9d-%d7%aa%d7%aa-%d7%99%d7%9e%d7%99%d7%99%d7%9d/,1126,,onsite,,
"מרכז/ת שיווק, מדיה דיגיטלית ופרויקטים – העסקה לפי שעות",אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/50008-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%9e%d7%93%d7%99%d7%94-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%aa-%d7%95%d7%a4%d7%a8/,50008,,onsite,,
"מזכיר.ה בביה""ס לבריאות הציבור – העסקה לפי שעות",אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/50007-%d7%9e%d7%96%d7%9b%d7%99%d7%a8-%d7%94-%d7%91%d7%91%d7%99%d7%94%d7%a1-%d7%9c%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa-%d7%94%d7%a6%d7%99%d7%91%d7%95%d7%a8/,50007,,onsite,,
רכז.ת שיווק ומידע – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/50006-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a9%d7%99%d7%95%d7%95%d7%a7-%d7%95%d7%9e%d7%99%d7%93%d7%a2-%d7%94%d7%a2%d7%a1%d7%a7%d7%94-%d7%9c%d7%a4%d7%99-%d7%a9%d7%a2/,50006,,onsite,,
מרכז.ת מינהלי.ת של המרכז לחדשנות ויזמות HIL – העסקה לפי שעות,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/50005-%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%9e%d7%99%d7%a0%d7%94%d7%9c%d7%99-%d7%aa-%d7%a9%d7%9c-%d7%94%d7%9e%d7%a8%d7%9b%d7%96-%d7%9c%d7%97%d7%93%d7%a9%d7%a0%d7%95/,50005,,onsite,,
מיישמ/ת SAP FI במדור ליבה עסקית,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/13424-%d7%9e%d7%99%d7%99%d7%a9%d7%9e-%d7%aa-sap-fi-%d7%91%d7%9e%d7%93%d7%95%d7%a8-%d7%9c%d7%99%d7%91%d7%94-%d7%a2%d7%a1%d7%a7%d7%99%d7%aa/,13424,,onsite,,
אחראי/ת תשתיות דיגיטליות ובינה מלאכותית בבית הספר לרפואה  היחידה לחינוך רפואי,אוניברסיטת חיפה,חיפה,2026-05-13,,https://hr.haifa.ac.il/12125-%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%aa%d7%a9%d7%aa%d7%99%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%95%d7%aa-%d7%95%d7%91%d7%99%d7%a0/,12125,,onsite,,
