title,company,location,date,url,department,workplace_type,level,source
עוזר/ת בכיר/ה לפיתוח אקדמי - המינהל האקדמי,HUJI Alumni Career,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%9c%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%90%d7%a7%d7%93%d7%9e%d7%99-%d7%94%d7%9e%d7%99%d7%a0%d7%94%d7%9c-%d7%94%d7%90%d7%a7%d7%93/,,onsite,junior,huji-alumni
מנהל/ת מוצר למשרה זמנית בחטיבת הדיגיטל,LOGO 10,,2026-05-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%9e%d7%95%d7%a6%d7%a8-%d7%9c%d7%9e%d7%a9%d7%a8%d7%94-%d7%96%d7%9e%d7%a0%d7%99%d7%aa-%d7%91%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c/,,onsite,junior,huji-alumni
מפיק/ה לכאן רשת ב' בכאן חדשות - במשרה חלקית,LOGO 10,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a4%d7%99%d7%a7-%d7%94-%d7%9c%d7%9b%d7%90%d7%9f-%d7%a8%d7%a9%d7%aa-%d7%91-%d7%91%d7%9b%d7%90%d7%9f-%d7%97%d7%93%d7%a9%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%94-%d7%97%d7%9c%d7%a7%d7%99/,,onsite,junior,huji-alumni
סטודנט/ית הדרכה ופיתוח במשרד הבריאות,HUJI Alumni Career,,2026-05-10,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%94%d7%93%d7%a8%d7%9b%d7%94-%d7%95%d7%a4%d7%99%d7%aa%d7%95%d7%97-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%a8%d7%99%d7%90%d7%95%d7%aa/,,onsite,junior,huji-alumni
מנהל/ת פרויקטים בתחום איכות ובטיחות מזון,HUJI Alumni Career,,2026-05-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98%d7%99%d7%9d-%d7%91%d7%aa%d7%97%d7%95%d7%9d-%d7%90%d7%99%d7%9b%d7%95%d7%aa-%d7%95%d7%91%d7%98%d7%99%d7%97%d7%95%d7%aa-%d7%9e%d7%96/,,onsite,junior,huji-alumni
דרוש/ה מתאם/ת מחקר בתחום התזונה,111111,,2026-05-10,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%aa%d7%90%d7%9d-%d7%aa-%d7%9e%d7%97%d7%a7%d7%a8-%d7%91%d7%aa%d7%97%d7%95%d7%9d-%d7%94%d7%aa%d7%96%d7%95%d7%a0%d7%94/,,onsite,junior,huji-alumni
מפיק/ת פוסט לחטיבת הדיגיטל,LOGO 10,,2026-05-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a4%d7%99%d7%a7-%d7%aa-%d7%a4%d7%95%d7%a1%d7%98-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%94%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c/,,onsite,junior,huji-alumni
ראש/ת דסק לדיגיטל החדשותי בכאן חדשות,LOGO 10,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%a8%d7%90%d7%a9-%d7%aa-%d7%93%d7%a1%d7%a7-%d7%9c%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c-%d7%94%d7%97%d7%93%d7%a9%d7%95%d7%aa%d7%99-%d7%91%d7%9b%d7%90%d7%9f-%d7%97%d7%93%d7%a9%d7%95%d7%aa/,,onsite,junior,huji-alumni
סטודנט/ית למשרת מפעיל/ת טלפרומפטר וכותרות (CG),LOGO 10,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%a9%d7%a8%d7%aa-%d7%9e%d7%a4%d7%a2%d7%99%d7%9c-%d7%aa-%d7%98%d7%9c%d7%a4%d7%a8%d7%95%d7%9e%d7%a4%d7%98%d7%a8-%d7%95%d7%9b%d7%95%d7%aa-2/,,onsite,junior,huji-alumni
מנהלן/ית הוראה ותלמידים - בית הספר לרפואה,HUJI Alumni Career,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c%d7%9f-%d7%99%d7%aa-%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%95%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%a4%d7%95%d7%90-2/,,onsite,junior,huji-alumni
דרושים סטודנטים לאגף בכיר תקציבים במשרד הפנים בירושלים,משרד הפנים לוגו,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98%d7%99%d7%9d-%d7%9c%d7%90%d7%92%d7%a3-%d7%91%d7%9b%d7%99%d7%a8-%d7%aa%d7%a7%d7%a6%d7%99%d7%91%d7%99%d7%9d-%d7%91%d7%9e%d7%a9-6/,,onsite,junior,huji-alumni
אחראי/ת AI,c3,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-ai/,,onsite,junior,huji-alumni
דרוש/ה מתמחה למשרד עורכי דין העוסק במשפט בינלאומי,c3,,2026-05-10,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%aa%d7%9e%d7%97%d7%94-%d7%9c%d7%9e%d7%a9%d7%a8%d7%93-%d7%a2%d7%95%d7%a8%d7%9b%d7%99-%d7%93%d7%99%d7%9f-%d7%94%d7%a2%d7%95%d7%a1%d7%a7-%d7%91%d7%9e%d7%a9%d7%a4/,,onsite,junior,huji-alumni
דרוש/ה סטודנט/ית לחטיבת ניהול ההון האנושי במשרד המשפטים,MinistryOfJustice-300x239,ירושלים,2026-05-10,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%97%d7%98%d7%99%d7%91%d7%aa-%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%94%d7%94%d7%95%d7%9f-%d7%94%d7%90%d7%a0%d7%95/,,onsite,junior,huji-alumni
דרוש/ה ר’ תחום איתור ואיסוף מידע לאגף שיקום במשרד הביטחון,לוגו משרד הביטחון,פתח תקווה,2026-05-06,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8-%d7%aa%d7%97%d7%95%d7%9d-%d7%90%d7%99%d7%aa%d7%95%d7%a8-%d7%95%d7%90%d7%99%d7%a1%d7%95%d7%a3-%d7%9e%d7%99%d7%93%d7%a2-%d7%9c%d7%90%d7%92%d7%a3-%d7%a9/,,onsite,junior,huji-alumni
משרות פתוחות באגף שיקום במשרד הביטחון,לוגו משרד הביטחון,,2026-05-06,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a4%d7%aa%d7%95%d7%97%d7%95%d7%aa-%d7%91%d7%90%d7%92%d7%a3-%d7%a9%d7%99%d7%a7%d7%95%d7%9d-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91%d7%99%d7%98%d7%97%d7%95%d7%9f/,,onsite,junior,huji-alumni
משרות פתוחות בערוץ הכנסת,Knessetch10.svg,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a4%d7%aa%d7%95%d7%97%d7%95%d7%aa-%d7%91%d7%a2%d7%a8%d7%95%d7%a5-%d7%94%d7%9b%d7%a0%d7%a1%d7%aa/,,onsite,junior,huji-alumni
Electrical Engineering Student,Silentium-Logo-HighQ,,2026-05-04,https://hujicareer.co.il/jobs/electrical-engineering-student/,,onsite,junior,huji-alumni
"סטודנט/ית לאגף הון אנושי, במשרד לשוויון חברתי וקידום מעמד האישה",1234,ירושלים,2026-05-04,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%90%d7%92%d7%a3-%d7%94%d7%95%d7%9f-%d7%90%d7%a0%d7%95%d7%a9%d7%99-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%9c%d7%a9%d7%95%d7%95%d7%99%d7%95%d7%9f/,,onsite,junior,huji-alumni
