title,company,location,date,deadline,url,jobcode,campus,department,workplace_type,description,requirements
ממונה/ת שוויון הזדמנויות קמפוסי/ת-דיקנט הסטודנטים- היחידה לשוויון הזדמנויות,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-31,https://huji.hunterhrms.com/job-details/?jobcode=JB-5045,JB-5045,קמפוס הר הצופים,,onsite,"•	אחריות וריכוז פעילות שוויון הזדמנויות ומניעת נשירה לסטודנטים מהחברה הכללית ומאוכלוסיות ייחודיות כגון: עולים חדשים, יוצאי אתיופיה, בוגרי החינוך החרדי, חברה ערבית ודור ראשון להשכלה.
•	גיוס, הדרכה, הכשרה, וניהול צוות היועצים בקמפוס.
•	מתן מענה אישי וייעוץ לסטודנטים.
•	אחריות על מערך החונכויות האקדמי בקמפוס.
•	אחריות על הפעלת ופיתוח פרויקטים להעצמת וקידום הסטודנטים.
•	שותפות בצוות המוביל ביחידה לשוויון הזדמנויות ודיקנט הסטודנטים.
•	תיווך ופיתוח הקשר עם המחלקות השונות באוניברסיטה.
•	איסוף נתונים וכתיבת דו""חות פנימיים וכן דו""חות לות""ת ולתורמים.
•	משימות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי וניסיון של שנתיים לפחות בייעוץ וליווי תהליכי של צעירים.
לחליפין תואר אקדמי בתחומי היעוץ או החינוך.
•	ניסיון בניהול צוות או בהדרכת צוות ייעוצי/חינוכי.
•	ניסיון בעבודה עם סטודנטים- יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	כושר ארגון, יכולת הנעת תהליכים, יכולת עבודה בצוות ויחסי אנוש מעולים.
•	נכונות לעבודה בשעות הערב ובשעות נוספות, בהתאם לצורך.
היקף:	משרה מלאה"
מנהלן/ית הוראה ותלמידים- מכון רקח- טבע,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-31,https://huji.hunterhrms.com/job-details/?jobcode=JB-5049,JB-5049,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"•	מתן מידע לסטודנטים בנושאים של נהלי לימודים, תוכניות לימוד והפניית סטודנטים לגורמים מוסמכים.
•	קבלת קהל וטיפול שוטף בתלמידי החוג לפיסיקה ובכלל זה: רישום ללימודים וקורסים, הנפקת אישורים ותיווך בין הסטודנטים ליחידות אחרות באוניברסיטה.
•	ריכוז הבקשות לתואר מוסמך ודוקטורט ותיאום ועדת קבלה.
•	תיאום וריכוז נושא הבחינות בחוג וכן סיוע בבניה ותכנון של לוח הבחינות.
•	אחריות על תהליכי סגירת תואר בוגר ותואר מוסמך עבור תלמידי החוג.
•	ריכוז, מעקב והפצה של קולות קוראים ומלגות לסטודנטים בחוג.
•	מתן סיוע לסגל האקדמי בנושא הוראה ותלמידים.
•	עזרה בהכנת טקסים וימים פתוחים.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי.
•	ניסיון בעבודה בנושאי הוראה ותלמידים - יתרון.
•	היכרות עם מערכות ממוחשבות בתחום מינהל תלמידים- יתרון.
•	שליטה מלאה ביישומי Office ואינטרנט ויכולת למידה של מערכות ממוחשבות.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	תודעת שירות גבוהה, יחסי אנוש מצוינים, עמידה בלחץ, כושר ארגון וסדר.
היקף:	משרה מלאה"
רכז/ת גיוס- משאבי אנוש,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,,https://huji.hunterhrms.com/job-details/?jobcode=JB-4963,JB-4963,קמפוס הר הצופים,,onsite,"ניהול תהליך גיוס מקצה לקצה לגיוס עובדים מנהליים במגוון רחב של תחומים ליחידות האוניברסיטה השונות:
•	איפיון משרות וניסוח תיאורי ודרישות תפקיד.
•	פרסום המשרות באתר האוניברסיטה, אתרי דרושים, רשתות חברתיות עם דגש על LinkedIn, כולל סורסינג.
•	הגדלת מקורות הגיוס כולל איתור קבוצות ב- Facebook וב- WhatsApp והצטרפות אליהן.
•	מיון קורות חיים, ביצוע ראיונות טלפוניים ופרונטליים וראיונות ממליצים.
•	תאום והכנת וועדות בחירה והשתתפות בהן.
•	העברת סימולציות שכר/ חוזים למועמדים שהתקבלו.
•	טיפול בסגירת משרות והוצאת מכתבי קבלה ודחייה.
•	מתן מידע למתעניינים על משרות פנויות באוניברסיטה.
•	עבודה שוטפת מול מנהלי יחידות ומנהלי כ""א באוניברסיטה.
•	השתתפות בפרויקטים כגון חבר מביא חבר, מיתוג מעסיק ועוד.
•	משימות נוספות בהתאם לדרישות הממונה.","•	תואר אקדמי. תואר בפסיכולוגיה/מדעי ההתנהגות- יתרון.
•	ניסיון בעבודה כרכז/ת גיוס ובביצוע ראיונות עומק.
•	ניסיון בגיוס ברשתות חברתיות וסורסינג.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	אדם של אנשים, בעל/ת יכולת אבחונית מעולה, יוזמה, יכולת עבודה בצוות, תודעת שירות גבוהה ודיסקרטיות.
•	כושר ביטוי מעולה בכתב ובעל פה, יכולת למידה מהירה ויכולת עבודה בריבוי משימות תוך עמידה בלוחות זמנים.
היקף: משרה מלאה"
רכז/ת אדמיניסטרטיבי/ת- בית הספר לרוקחות,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,,https://huji.hunterhrms.com/job-details/?jobcode=JB-4985,JB-4985,קמפוס עין כרם,,onsite,"סיוע אדמיניסטרטיבי למנהל ולמנהלת האדמיניסטרטיבית של ביה""ס ובכלל זה:
•	טיפול בעניינים מנהליים וכספיים של יחידת הצב""מ ושל מרכזי המחקר הכוללים טיפול בהזמנות עבודה ומעקבם, הכנת דוחות כספיים ומדעיים ומעקב אחר פעילותם.
•	סיוע בהיבטים לוגיסטיים בביה""ס ובכלל זה: תחזוקה שוטפת של הבניין, הכנת תוכניות לשיפוצי מעבדות קיימות ומעבדות חוקרים נקלטים וליווי בהקמתם.
•	סיוע בתחזוקת ציוד בית הספר, הכולל ציוד מולטימדיה.
•	טיפול ומעקב אחר הזמנות רכש, ציוד, עבודה ואישור חשבונות לתשלום.
•	אחריות על  פרויקטים ואירועי ביה""ס.
•	קשר שוטף עם גורמי פנים וחוץ לרבות תיאום פגישות וביקורי אורחים מחו""ל.
•	תפעול אתר האינטרנט של ביה""ס ומסכי תצוגה.
•	טיפול בנסיעות סטודנטים וחוקרים לחו""ל.
•	ביצוע משימות נוספות ופרויקטים בהתאם להוראות הממונים.","•	תואר אקדמי/ *סטודנטים לפי שעות באוניברסיטה העברית הנמצאים בשנתם האחרונה לתואר.
•	ניסיון אדמיניסטרטיבי קודם.
•	ידע וניסיון בהנהלת חשבונות- יתרון.
•	ניסיון בעבודה עם מערכות כספים ממוחשבות  -  יתרון.
•	הכרות עם יחידות האוניברסיטה – יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	שליטה מלאה ביישומי Office ואינטרנט.
•	יכולת ארגון, יכולת עבודה בצוות, יחסי אנוש מעולים ותודעת שירות גבוהה.
היקף:	משרה מלאה."
עובד/ת מקצועי/ת – אחזקת מבנים-האגף לבינוי ותשתיות,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-26,https://huji.hunterhrms.com/job-details/?jobcode=JB-5046,JB-5046,קמפוס עין כרם,,onsite,"•	ביצוע עבודות תחזוקה כלליות.
•	ביצוע עבודות בינוי קלות בקמפוס (תיקוני צבע, עבודות גבס, חיפויים וכיו""ב).
•	טיפול ומענה לתקלות שבר בתחומים שונים: פרזול, נגרות, מסגרות קלה.
•	ביצוע התקנות קטנות בהתאם לדרישות המזמין ובכפוף לנהלי העבודה.
•	אחריות על תחזוקת השטחים הפתוחים בקמפוס (גדרות ומעקות, מחסומים, ריהוט חוץ, ניקוזים, שילוט, פחי אשפה וכיו""ב).
•	תחזוקת מגרשי החנייה בקמפוס לרבות סימון, ניקיון, תמרורים, שערים ועוד.
•	טיפול בקריאות בתחומי האחריות הנ""ל (כרטיסי שבר ממוקד התקלות) לרבות סגירת הכרטיסים בגמר הטיפול בתקלה.
•	משימות נוספות בהתאם לדרישות הממונה.
•	העבודה בקמפוס עין כרם.","•	12 שנות לימוד.
•	כישורים באחד או יותר מהתחומים הבאים: תחזוקת מבנים, מסגרות, זגגות, נגרות, מנעולנות.
•	ניסיון מקצועי של שנתיים לפחות.
•	ידע בתחום המיזוג-  יתרון.
•	ידיעת השפה העברית על בוריה.
•	הכרות עם יישומי Office.
•	יחסי אנוש טובים וכושר ארגון.
•	נכונות לעבודה בשעות בלתי שגרתיות בתקופות לחץ.
היקף:	משרה מלאה"
רכז/ת תקציבי מחקר- רוח,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-25,https://huji.hunterhrms.com/job-details/?jobcode=JB-4958,JB-4958,קמפוס הר הצופים,,onsite,"אחריות כוללת לתחום הרכש והמלגות בתקציבי המחקר בפקולטה, לרבות מרכזי מחקר ובכלל זה:
•	טיפול ברכש – עבודה מול ספקים בארץ ובחו""ל, רכש פנימי, טיפול בהחזרי הוצאות.
•	טיפול במלגות של מרכזי מחקר – הקמה וניהול אתר, הפצת מידע, מתן מענה למועמדים, ארגון ושליחת תיקי מועמדות לוועדה האקדמית, מתן הודעות לזוכים ולנדחים ומילוי טפסים לדיווח.
•	טיפול במלגות מתקציבי מחקר בארץ ובחו""ל.
•	הכנת דוחות כספיים.
•	ייעוץ לחוקרים בכל הנוגע לתפעול תקציבי מחקר ומענה שוטף בתחום.
•	סיוע בארגון כנסים, לרבות טיפול בתשלומים למרצים אורחים.
•	ביצוע מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי.
•	ניסיון בעבודה בתחום הכספים/הנהלת חשבונות – יתרון.
•	היכרות עם מערכת ה-SAP – יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	שליטה מלאה ביישומי Office ואיטרנט, ו -Excel  בפרט.
•	יכולת עבודה עצמאית ועמידה בלוחות זמנים.
•	אחריות, יוזמה, יחסי אנוש מעולים ותודעת שירות גבוהה.
היקף:	משרה מלאה"
רכז/ת שיווק ומדיה דיגיטלית-המכון הישראלי ללימודים מתקדמים,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-25,https://huji.hunterhrms.com/job-details/?jobcode=JB-5001,JB-5001,"קמפוס  ע""ש אדמונד י.ספרא",,onsite,"ניהול מערך השיווק והמדיה של המכון ובכלל זה:
•	אחריות על התכנים באתר האינטרנט של המכון וכן על תאום הטיפול בבנייה ותחזוקת דפי היחידה ברשתות החברתיות השונות.
•	מעקב אחר תגובות ופניות במדיה החברתית ואחריות על מענה לפונים.
•	עריכה לשונית באנגלית של כל פרסומי המכון: חוברת העמיתים, הדוח השנתי, פרסומי אירועים, מכתבים רשמיים ועוד.
•	הכנת רשימות תפוצה לפרסומי המכון, עדכונן והפצת החומרים.
•	איתור מחקרים וריכוז המידע אודותיהם, ריכוז פעילויות במכון וטיפול בהם בתיאום מול אגף השיווק.
•	תיעוד אירועים וכנסים במדיה הדיגיטלית והפקת חומרים דיגיטליים כגון סרטים.
•	השתתפות בפורומים של רכזי מדיה דיגיטלית שמוביל אגף שיווק.
•	קיום קשר שוטף והנחייה מקצועית של אגף השיווק.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי. תואר בתחומי תקשורת/שיווק- יתרון.
•	ניסיון בעבודה בתחום השיווק.
•	היכרות מעולה עם עולם הרשתות חברתיות והמדיה הדיגיטלית.
•	שליטה מלאה ביישומי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה מאוד.
•	יוזמה, יחסי אנוש מעולים ויכולת רתימה ושכנוע.
•	יכולת ונכונות לעבודה בשעות נוספות, בהתאם לצורך.
היקף:	משרה מלאה"
עוזר/ת בכיר/ה לפיתוח אקדמי-המינהל האקדמי,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,2026-05-20,https://huji.hunterhrms.com/job-details/?jobcode=JB-4961,JB-4961,קמפוס הר הצופים,,onsite,"•	הכנה, בנייה, תחזוקה והרצה של מודל התקצוב הפנימי של האוניברסיטה, ריכוזו ופיתוחו בהתאם לפרמטרים משתנים, תוך בדיקת ההשלכות התקציביות, הארגוניות והאקדמיות.
•	פיתוח כלים, מתודולוגיות ותהליכי עבודה להטמעה של המודל בשטח והדרכה של אנשי מפתח בפקולטות לגבי המודל.
•	פיתוח ובקרה על כל הדו""חות הקשורים לנתוני הסגל האקדמי הבכיר ובהם דו""ח סגל אקדמי ודו""ח סגל רפואה.
•	יצירת תהליכי עבודה להנגשת הדוחות להנהלה ולגורמים רלוונטיים בתוך האוניברסיטה ומחוצה לה.
•	אחריות על בנייה והכנה של בסיסי נתונים עבור המדדים הבינלאומיים.
•	אחריות לבנייה ולשימוש במערכי הנתונים והדוחות בתחומים שתחת לשכת הרקטור והמינהל האקדמי, תוך שימוש מיטבי בתשתיות הנתונים הכלל מוסדיות.
•	מענה על בקשות מידע מות""ת, מהלמ""ס ומגופים נוספים הנוגעות למאגרי הנתונים של המינהל האקדמי.
•	מטלות נוספות בהתאם להוראות הממונים.","•	תואר אקדמי. תואר בכלכלה/סטטיסטיקה/מדעי המחשב/ מינהל עסקים ותחומים קרובים ו/או תואר שני בתחומים אלו-  יתרון.
•	ניסיון בעבודה בניתוח נתונים ודו""חות מערכתיים.
•	ניסון בעבודה כראש צוות או בעבודה עצמאית מול דרגי הנהלה.
•	ניסיון בעבודה בארגונים גדולים, ובפרט ניסיון בעבודה מול יחידות אקדמיות - יתרון.
•	שליטה מצוינת ב-Excel, בפרט PIVOT ונוסחאות כלכליות וסטטיסטיות מורכבות.
•	שליטה בסיסית בפייתון ובכתיבת קוד (בעיקר בחבילות כגון numpy, pandas) - יתרון.
•	הכרה ושימוש במערכת POWERBI - יתרון.
•	היכרות וניסיון בעבודה עם מערכות אוניברסיטאיות ממוחשבות - יתרון.
•	שליטה מלאה ביישומיי Office ואינטרנט.
•	ידיעת השפה העברית על בוריה והשפה האנגלית ברמה טובה.
•	יכולות אנליטיות, חשיבה שיטתית ויכולת גבוהה של הסקת מסקנות מנתונים.
•	יכולת רתימה, הובלת תהליכים והטמעת שינויים.
•	יחסי אנוש מעולים, תודעת שירות גבוהה ויכולת עבודה עצמאית ובצוות.
היקף:	משרה מלאה"
מנהלן/ית הוראה ותלמידים-בית הספר לרפואה- הפקולטה לרפואה,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,,https://huji.hunterhrms.com/job-details/?jobcode=JB-5042,JB-5042,קמפוס עין כרם,,onsite,"•	מתן שירותים לסטודנטים, לסגל האקדמי ולסגל המנהלי בנושאי הוראה ותלמידים.
•	סיוע לסגל בית הספר לרפואה בנושאי הוראה, לימודים ובנושאים טכניים ואדמיניסטרטיביים.
•	סיוע בתיאום לו""ז מרצים על פי הנחיות ראש תחום הוראה ותלמידים.
•	סיוע בטיפול בבחינות, תיאום בחינות, עריכה והזנה במערכות ודיווח ציונים.
•	סיוע בבדיקת זכאות לתואר, סגירת תארים והפקת אישורי לימודים וגיליונות ציונים לסטודנטים.
•	סיוע בארגון טקסים, אירועים וימים פתוחים.
•	עבודה משרדית שוטפת: מענה לפניות טלפוניות ופניות בדוא""ל ממרצים וסטודנטים
•	מטלות נוספות ושוטפות בהתאם לפרויקטים השונים ולהוראות הממונים.","•	תואר אקדמי.
•	ניסיון בעבודה אדמיניסטרטיבית.
•	שליטה מלאה ביישומי Office (Excel (  ואינטרנט.
•	הכרת מערכות הוראה ותלמידים- יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה.
•	תודעת שירות גבוהה, יחסי אנוש מעולים ויכולת עבודה בצוות.
•	כושר ארגון, דייקנות ועמידה בלוחות זמנים.
•	נכונות לעבודה בשעות נוספות.
היקף:	משרה מלאה"
מנהל/ת היחידה לניתוח ותכנון מדיניות- לשכת הנשיא,האוניברסיטה העברית בירושלים,ירושלים,2026-05-15,,https://huji.hunterhrms.com/job-details/?jobcode=JB-5036,JB-5036,קמפוס הר הצופים,,onsite,"מנהל/ת היחידה אמון על הובלת פעילות היחידה לצורך תמיכה בתהליכי ניתוח ותכנון מדיניות, וקידום תהליכים מרכזיים בארגון. במסגרת התפקיד, המנהל/ת ישמש/תשמש גורם מפתח בגיבוש מבנה נתונים רלוונטיים כיסוד לתהליכי קבלת החלטות של הנהלת האוניברסיטה, ובליווי תהליכי יישום תוכניות האוניברסיטה בשיתוף פעולה עם היחידות השונות.
•	יעוץ להנהלת האוניברסיטה בגיבוש מדיניות מבוססת מידע ונתונים, הכנת תוכניות לטווח קצר וארוך, ובהתוויית אסטרטגיה תומכת לקבלת החלטות בארגון.
•	סיוע במעקב שוטף אחר יישום התוכנית האסטרטגית של האוניברסיטה ותוכניות פיתוח של היחידות, זיהוי פערים ויזום צעדים לשיפור.
•	ייזום והובלת ניתוח מגמות והשוואת נתונים בין האוניברסיטה העברית לאוניברסיטאות אחרות בארץ ואוניברסיטאות מובילות בעולם,  בפרמטרים הרלוונטיים להשכלה הגבוהה.
•	פיקוח על עיבוד נתונים כלכליים/סטטיסטיים והפקת דו""חות עבור גורמים שונים באוניברסיטה.
•	הנעת תהליכי מעקב, ניתוח וטיוב מאגרי המידע המועברים לוועדה לתכנון ותקצוב (ות""ת).
•	אחריות על ביצוע מעקב שוטף אחר החלטות מל""ג/ות""ת – ניתוח המידע והשלכותיו, עדכון הנהלת האוניברסיטה והמלצה על דרכי פעולה בהתאם.
•	תכנון ופיקוח על בניית כלים לקבלת החלטות מבוססות נתונים – ייזום, פיתוח והטמעת כלים תומכי החלטה.
•	אחריות ומתן הנחיות לכתיבת מסמכים, הפקת דו""חות והכנת מצגות וחומרים מקצועיים ותמציתיים אחרים בנושאי ליבה, שישמשו כבסיס לדיוני הנהלת האוניברסיטה ולקבלת החלטות אסטרטגיות.
•	ניהול צוות היחידה – הגדרת משימות, קביעת סדרי עדיפויות, פיתוח מקצועי וליווי שוטף של הצוות.
•	משימות נוספות בהתאם להנחיות ההנהלה.","•	תואר אקדמי בסטטיסטיקה/ כלכלה/ מדע הנתונים/ תחום רלוונטי אחר.
•	ניסיון בניתוח נתונים והצגת תמונת מצב ותהליכים מורכבים בפני הנהלת הארגון או גורמים בכירים אחרים.
•	מיומנויות עבודה עם יישומי Office ועם מערכות IT ובכלל זה שליטה ב- EXCEL ובפרט PIVOT ונוסחאות כלכליות וסטטיסטיות מורכבות, היכרות ועבודה עם מערכות ERP, BI וכלי AI ברמה גבוהה מאוד.
•	היכרות טובה עם מערכת ההשכלה הגבוהה בישראל ואופן תקצובה- יתרון.
•	הכרות עם המערכת האוניברסיטאית והתרבות הארגונית באוניברסיטה- יתרון.
•	ניסיון בהובלת תהליכים ושינויים בארגונים גדולים – יתרון.
•	ניסיון בניהול צוות  עובדים- יתרון.
•	ידיעת השפה העברית על בוריה ואנגלית ברמה טובה מאוד בעל פה ובכתב.
•	יכולת תקשורת בין-אישית גבוהה בדגש על מיומנויות הצגה, שכנוע וניהול קונפליקטים.
•	יכולות אנליטיות, חשיבה שיטתית ויכולת גבוהה של הסקת מסקנות מנתונים.
•	יוזמה, יצירתיות, יכולת למידה עצמית ויכולת עבודה עצמאית ובצוות.
•	יכולת להתמודד עם ריבוי משימות ועמידה בלוחות זמנים."
