title,company,city,date,deadline,url,department,workplace_type,description,requirements
ראש צוות ביקורת פנימית,The Joint (ג'וינט),ירושלים,2026-04-27,,https://www.thejoint.org.il/en/career/?juid=CC.767,,onsite,,":
ניסיון מוכח בביקורת פנימית (לפחות 3 שנים) עם רקע בהובלת צוותים או פרויקטים מורכבים.
הבנה עמוקה של מסגרות בקרה פנימית ועקרונות ניהול סיכונים.
מיומנויות בין-אישיות ותקשורתיות חזקות.
גישה טכנולוגית (Tech-savvy) עם תשוקה לביקורת מונעת נתונים ולאוטומציה.
ניסיון בניתוח נתונים בדגש על יישום למטרות ביקורת פנימית - יתרון משמעותי.
שפות:
רוסית - שפת אם/שליטה מלאה
. אנגלית ועברית - רמה גבוהה.
השכלה:
תואר ראשון בתחומים רלוונטיים - חובה.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.CC.767@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל/מנהלת תכניות,The Joint (ג'וינט),Jerusalem,2026-04-13,,https://www.thejoint.org.il/en/career/?juid=EB.561,,onsite,,":
תואר ראשון בעבודה סוציאלית או תחומים נושקים – חובה; תואר שני – יתרון.
ניסיון משמעותי של לפחות 5 שנים בניהול והפעלת תוכניות חברתיות – חובה.
שפות: רוסית-חובה; עברית ואנגלית-ברמה גבוהה.
היכרות עם גישות עדכניות בתחום העבודה הסוציאלית, כגון ניהול מקרה (case (management ועבודה סוציאלית קהילתית.
ידע או ניסיון בתחום הגרונטולוגיה או תוכניות רווחה מונעת – יתרון.
היכרות עם טכנולוגיות וחדשנות בתחום הזקנה – יתרון.
כישורים בין-אישיים מצוינים ויכולת גבוהה לבניית שיתופי פעולה עם צוותים מגוונים, כולל דרגי הנהלה.
יכולת הובלת תהליכים, חשיבה יוזמת, גמישות מחשבתית והתמודדות עם אתגרים מורכבים.
נכונות לנסיעות לחו""ל.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.EB.561@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל/ מנהלת פיתוח ידע ולמידה להובלת שינוי בענף המטפלים הישראלים בזקנים בקהילה – ג'וינט אשל,The Joint (ג'וינט),ירושלים,2026-05-04,,https://www.thejoint.org.il/en/career/?juid=5C.764,,onsite,,":
השכלה: תואר ראשון במדעי החברה - חובה (תואר שני- יתרון).
ניסיון בפיתוח למידה:
לפחות 3 שנים בהנחיית תהליכי למידה תומכי פיתוח וכתיבה מקצועית (המשגה) - חובה.
ניסיון בהנחיה:
שנתיים לפחות בהנחיית קבוצות - חובה (תעודת מנחה קבוצות - יתרון).
הדרכת צוותים:
ניסיון מוכח בהנחיית מנחים וליווי צוותים מקצועיים - חובה.
יכולות טכנולוגיות:
ניסיון בעבודה בסביבה דיגיטליים
עבודה עם כלים דיגיטליים מתקדמים ללמידה - יתרון.
רקע מקצועי:
היכרות עם עולם השירותים החברתיים ו/או מערכות בריאות בזיקנה - יתרון משמעותי.
פרטים נוספים:
היקף משרה: 100%.
מודל עבודה: היברידי (בית / משרדי הג'וינט בירושלים / הדרכות בשטח).
תחילת עבודה: מיידית.
מעוניינים להשפיע על עתיד הזיקנה בישראל?"
מנהל / מנהלת תכניות שיקום – ג'וינט ישראל מעבר למגבלות,The Joint (ג'וינט),ירושלים,2026-05-06,,https://www.thejoint.org.il/en/career/?juid=63.96E,,onsite,,":
תואר שני לפחות בתחום רלוונטי לעולמות השיקום (רפואה, סיעוד, מקצועות הבריאות, עבודה סוציאלית, פסיכולוגיה).
ניסיון משמעותי של לפחות 5 שנים בעבודה בתחום השיקום – חובה.
ניסיון משמעותי של לפחות 3 שנים בניהול והפעלת תוכניות חברתיות/בריאותיות – חובה.
היכרות עם גישות עדכניות בתחום הבריאות והשיקום, כגון International Classification of Functioning and Disability and Health (ICF).
היכרות עם טכנולוגיות וחדשנות בתחום השיקום – יתרון.
כישורי ניסוח והצגה גבוהים בכתב ובע""פ.
נכונות לעבודה דינמית, מרובת משימות ואחריות.
פרטים נוספים:
משרה מלאה היברדית דורשת הגעה של פעמיים בשבוע לפחות לירושלים
העסקה ע""י ג'וינט-ישראל
קורות חיים יש להגיש באמצעות הטופס עד לתאריך 21 במאי 2026. רק פניות מתאימות יענו.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.63.96E@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
מנהל / מנהלת תוכניות לפיתוח והובלה במסגרת אתגר התחדשות השירות הציבורי – ג'וינט אלכא,The Joint (ג'וינט),Jerusalem,2026-05-04,,https://www.thejoint.org.il/en/career/?juid=12.367,,onsite,"הובלת תכניות ותהליכים מערכתיים לחיזוק יכולות השירות הציבורי – משלב אבחון האתגר ועד יישום והטמעה בפועל בממשלה וברשויות.
במסגרת התפקיד:
הובלת תהליכי שינוי מערכתיים
פיתוח וגיבוש מודלים, תורות הפעלה וכלים לחיזוק יכולות ביצוע ויישום מדיניות
הובלת תהליכים בין-משרדיים ובין-מגזריים סביב אתגרי עומק
ליווי תכניות ויוזמות מורכבות מקצה לקצה – אבחון, עיצוב, יישום והטמעה
עבודה שוטפת עם דרגים בכירים בממשלה
הקמה והובלה של פורומים מקצועיים ובכירים
ניהול תהליכי חשיבה, צוותי ליווי ויועצים
תכנון ומעקב אחר יישום, כולל היבטים תקציביים ותפעוליים
ליווי כתיבת מסמכים תפישתיים ותהליכי מחקר ואיסוף דאטה",
"מנהל / מנהלת אזור חיפה והשרון למיזם הלאומי  לקידום חוסן, בריאות נפשית ופיסית בקהילה – ג'וינט ישראל",The Joint (ג'וינט),ירושלים,2026-04-29,,https://www.thejoint.org.il/en/career/?juid=06.76A,,onsite,,":
ניסיון של שלוש שנים לפחות בניהול תכניות חברתיות שכללו עבודה בקהילה ו/או תכניות לקידום בריאות והובלת שותפויות ומיזמים מורכבים – חובה
היכרות מעמיקה עם הממשל המקומי בישראל - חובה
ניסיון בניהול צוות ותקציב - חובה
ניסיון של 3 שנים לפחות בעובדה בשותפויות בין מגזריות – חובה
היכרות מעם תחומי תוכן של בריאות נפשית ופיסית  - יתרון משמעותי
השכלה אקדמאית בתחומים רלוונטיים- תואר שני יתרון
אנו מחפשים מועמד/ ת עם
יכולות בין אישיות גבוהות, יחסי אנוש מעולים ורצון לעבודה צוותית ושיתופית ויכולת לעבוד באופן עצמאי ובסביבה מורכבת  וכן ראייה מערכתית ויוזמה
פרטים נוספים:
היקף המשרה: 100%. נדרשת נכונות לשעות עבודה גמישות
ניידות גבוהה בשטח
בסיס העבודה: עבודת שטח, דורשת הגעה של פעם בשבועיים למשרדי הג'וינט בירושלים
גורם מעסיק: ג'וינט ישראל
תחילת עבודה:
מיידי
לכחצי שנה
קורות חיים יש לשלוח ל באמצעות הטופס עד לתאריך 10 במאי 2026. יענו פניות מתאימות בלבד.
*הג'וינט פועל כמרכז הפיתוח החברתי של ישראל, בשיתוף פעולה אסטרטגי עם הממשלה, הרשויות, המגזר השלישי והעסקי ושותפים נוספים. מיזם זה הינו מיזם משותף של הממשלה והג'וינט.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.06.76A@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
חשב/ חשבת  שכר  - לג'וינט ישראל  - החלפה לחל,The Joint (ג'וינט),ירושלים,2026-05-03,,https://www.thejoint.org.il/en/career/?juid=63.96F,,onsite,":
חלק מצוות הכנת שכר לכלל עובדי הארגון כ -600 עובדים
קליטה ועזיבת עובדים - לרבות בניית שכר לעובדים חדשים, טפסי 101 לעובדים חדשים וקיימים, טפסי 161 וכן תהליך יציאת עובדת לחופשת לידה ,חל""ת זכויות הטבות
התנהלות מול חברות הביטוח
מתן מענה לעובדי החברה בכל הקשור לנושאי השכר, לרבות הפרשות פנסיוניות ומיסוי, ובמידת הצורך הדרכה פרטנית/קבוצתית לעובדי הארגון בסוגיות השכר.
הכנת דוחות וניתוחים אנליטיים - לבקשת ההנהלה",":
ניסיון של שנתיים לפחות בחשבות שכר בחברות עם 100 עובדים ומעלה - חובה
ניסיון עם עבודה בתוכנת חילן (במודולים שכר, נוכחות, משאבי אנוש, בקרה) – יתרון
ניסיון בהכנת שכר במגזר הציבורי - יתרון
שליטה מלאה בתוכנות אופיס בדגש על אקסל - חובה
אנו מחפשים מועמד / מועמדת עם: תודעת שירות גבוהה ; יכולת עבודה במצבי לחץ ונכונות לעבודה בשעות נוספות; יכולת למידה ויסודיות גבוהה; יכולת תיעדוף משימות; יכולת עבודה בצוות.
פרטים נוספים:
היקף משרה: 80% משרה
העסקה לכחצי שנה מתחילת יולי – החלפה לחל""ד
מיקום המשרה: עבודה היברידית במשרדי הג'וינט בירושלים
גורם מעסיק: ג'וינט ישראל
קורות חיים יש לשלוח באמצעות הטופס עד לתאריך 31 במאי 2026, רק פניות מתאימות יענו.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.63.96F@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
חוקר.ת לצוות תעסוקה (החלפה לחל,The Joint (ג'וינט),ירושלים,2026-04-27,,https://www.thejoint.org.il/en/career/?juid=A4.861,,onsite,"ביצוע ניתוחים כמותיים ברמה גבוהה; עבודה בחדרי מחקר (של הלמ""ס ושל הביטוח הלאומי); כתיבת דוחות מחקר והצגת הממצאים לנציגי ממשלה; קיום קשרים עם לקוחות ועם בעלי עניין במשרדי ממשלה ובארגונים נוספים בזירה הציבורית והמחקרית.",
בודק/ת ומטמיע/ת SAP,The Joint (ג'וינט),ירושלים,2026-04-19,,https://www.thejoint.org.il/en/career/?juid=50.653,,onsite,":
תמיכה שוטפת במשתמשי הארגון במערכת SAP חיה : מענה לפניות, חקירת תקלות, תחקור הצורך העסקי וליווי מלא עד סגירת מעגל.
פרויקט מעבר ל‑SAP S/4HANA : הרצת בדיקות End‑to‑End של תהליכים עסקיים מקצה‑לקצה בסביבות שונות.
בדיקות, תיעוד והטמעה: כתיבת תסריטי בדיקות, תיעוד תקלות, מעקב אחר תיקונן, ביצוע בדיקות חוזרות והטמעת השינויים במערכת.
חקירה עצמאית של תקלות: אבחון מקור הבעיה ,קסטומיזציה / פיתוח / קונפיגורציה ,עבודה מול צוותי פיתוח וספקים חיצוניים כולל וביצוע בדיקות חוזרות עד סגירה מלאה.
ביצוע קסטומיזציות שוטפות בהתאם לצרכים תפעוליים ופרויקטליים, כתיבת אפיונים פונקציונליים וטכניים, עבודה ב‑SPRO והנחיית מפתחים לגבי פיתוחים נדרשים.
כתיבת מדריכי משתמש וחומרי הדרכה, והטמעת תהליכים ושינויים תפעוליים ופרויקטליים במערכת.
עבודה מול ממשקים מרובים וגלובליים: צוותי IT ,גורמים עסקיים (כולל רכש ותקציבים), ספקים חיצוניים ומשתמשים בארץ ובחו״ל, על מנת להבטיח שהמערכת תומכת בתהליכים העסקיים של הארגון.",":
At least two years of experience in SAP system implementation across various modules, including experience writing technical specifications, functional specifications, and implementing them in the system – mandatory.
Significant experience with SPRO – mandatory.
Experience with procurement and workflow modules – MM, WF – significant advantage.
Ability to conduct conversations in English with users and customers abroad – mandatory.
Experience in implementing an SAP system migration from ECC to SAP S/4HANA – advantage.
Bachelor’s degree in a relevant field / SAP implementation course – advantage.
The Role Will Suit You If You:
Have thorough thinking, a high level of accuracy, and a methodological approach.
Enjoy combining service and day‑to‑day user support with handling and leading incidents, testing, and complex processes.
Are able to dive into details, investigate and analyze issues deeply, while simultaneously managing tasks and processes efficiently and effectively.
Have the ability to understand and analyze business processes and connect business needs to system solutions.
Work comfortably with multiple interfaces, know how to coordinate diverse stakeholders, and lead issues through to clear and complete resolution.
Have a high service orientation, excellent interpersonal communication skills, and an ability to work pleasantly and respectfully with users and professional counterparts.
Additional Details:
Full‑time position, temporary contract for project purposes (until July 2027).
Location: The Joint offices in Jerusalem, hybrid work model (2 office days, and 3 WFH days).
Reporting line: SAP Team Lead.
Start date: Immediate.
Application Form
If you are unable to fill out the form, you can send us contact information and a resume file to the address
JDC.50.653@applynow.io
Contact
9 Eliezer Kaplan, Givat Ram, Jerusalem
POB 3489, Zip code 9103401
Phone
+972-2-6557111
Fax
+972-2-6557515
About Us
Our Story
Management
Partnership with the Joint
Challenges
All Challenges
Joint-TEVET: Workforce Integration and Productivity
Joint-ASHALIM: Advancing Social Mobility
Joint- ESHEL: Successful Aging
Joint- ISRAEL UNLIMITED: Independent Living for People with Disabilities
Joint- ELKA: System Efficiency and Effectiveness
Integration of the Ultra-Orthodox Sector
Success Stories
Updates
News
Knowledge Center
Digital Library
Coronavirus Crisis
Voices of The Joint
Related Sites:
The Global JDC
© All rights reserved
Terms Of Use
Privacy Policy
Site Map
Accessibility statement
English
עברית
Send this to a friend
Send
Cancel
Notifications"
Program and Operations Associate – Task Force on Arab Citizens of Israel,The Joint (ג'וינט),Jerusalem,2026-04-27,,https://www.thejoint.org.il/en/career/?juid=A5.867,,onsite,,
