title,company_name,location,date,url,,
"Israel Inland Operation Agent
Israel Inland Operation Agent with verification",A.P. Moller - Maersk,"Ashdod, South District, Israel (Hybrid)",4/20/2026,https://www.linkedin.com/jobs/view/4404065339/?eBP=CwEAAAGdqrbFF-qX6EsPG5P3ALozJ34h7PXl3oIanBR4_zKk4tUPsHYxk-ipZAgqbEg22b3amNC8g9Cz0GDHIg7-5vICEFnTVjf-092OgBGOMulKZYqUaMEUDnSigvlQ86ylSgWRHXSRch_nZDv34n1xrc3ah8z_ggPcx8kH9l3uA4SHGDlQm0DgVYuP9QbtFObUhS4FUru7ngK9ibiUanbiOzQr_mE_iSrnxqH7DOM2AN6mFgmDSi5lklJxeS1KdMsmD8Ycz4nWzlf4DCj4vrvOaWnFbhN5id98K8J_FulsaUq49wVAlg_spKDHr8aBg4vVqf8F3QjR2ElmJKk9-Dqmqc4Syv0D-4FgVBwFFyer7WbnNyaOuTnzoqWJfcuQmXNFdhY1xsvXC9hvTi2cjEqUdGOJI5gQ0hItZEDkAcuLzmtF2Kem4byg3ghZxaWPziDzvsAMNXqkCSIHSl1wzupIExei1y0VLi7D4jXvtioDzrIp&refId=seBcCWPXggIUMZoE7Lk4lQ%3D%3D&trackingId=rikoksa1%2BrulAuHlCZ9%2Bbw%3D%3D&trk=flagship3_search_srp_jobs,,
"Senior Data Engineer
Senior Data Engineer with verification",abra,"Holon, Tel Aviv District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4403871979/?eBP=CwEAAAGdqrpXAv_gkQd4gtxkWTkPsvF4wvoFbVbNoiVx3JC1Ss1PY4Ysy_-g7aafCWk7LBZYGDjdtutVA_awRcxP4V1lUb3F-3GmhPkwTNbPUgywKttBxswcqX2SDbrSs1iiwQS0ImOUWLP8iPXkjEhGFfryC04a6pOD0LqmZ7OSG_YPYi0pE6c-UYYDk08VdvPiDjOyv5N6Ce-DyPbKObZXkxPTJq4w3Oto7KfuYzIEKc3R2v0qn4c216V_KNQr-vZj41ms9KvqUmHk-VMnBVqDusWcElQG0Pv0RJt88LBgFHX_uB9SLO0VguiXds49_BHaBNILAHMWISov28B0omxOXgxcAqroUDISlc96PQ0uYMr9jqVEE2fXJbV7qmB-tCopeQ1R1vAmZ6BUxtVsLbOUh1-YJWHrKHiqVHltmSblm8LP2XyAzmhrf1dm-kbdPF-SgUKUxVrO15D1eeg2TUmJkKDWgcg7mmyCTfrrywck1QEWfLQ&refId=A3b%2FxFIa3yqCpxyqScS60w%3D%3D&trackingId=bAGBCR%2F%2Ff3y1HJXuJfTBOw%3D%3D&trk=flagship3_search_srp_jobs,,
"Network Security Specialist
Network Security Specialist with verification",abra,"Tel Aviv District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4401614628/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=YwHXdBJgQCBDtcIzuzhgfQ%3D%3D&trackingId=M2TkynrWYkIL3gM5aEDgaA%3D%3D&trk=flagship3_search_srp_jobs,,
"Senior Paid Search Specialist (PPC)
Senior Paid Search Specialist (PPC)",Accel Club,EMEA (Remote),4/20/2026,https://www.linkedin.com/jobs/view/4388693800/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=0PvCmOQIyB9CRi8aHHzmeA%3D%3D&trackingId=VNFwbK2tERIfNSJ3u846uQ%3D%3D&trk=flagship3_search_srp_jobs,,
"West Africa Researcher - REMOTE
West Africa Researcher - REMOTE with verification","ACLED
1 hour ago
Within the past 24 hours",EMEA (Remote),4/20/2026,https://www.linkedin.com/jobs/view/4403377075/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=KQhcCrvJKS8aKPYBMjYiMg%3D%3D&trackingId=CtUcoa2i8bVH5iqvLPjraw%3D%3D&trk=flagship3_search_srp_jobs,,
"Facility Manager
Facility Manager with verification","ADAMA Ltd.
49 school alumni work here
49 Bar-Ilan University school alumni work here
7 minutes ago
Within the past 24 hours","Ashdod, South District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4404079760/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LgvSfgqjXVPXAQtfXKd%2BOg%3D%3D&trackingId=%2FgLSdcqeIwwrXc8Z5N2sKg%3D%3D&trk=flagship3_search_srp_jobs,,
"Project Manager
Project Manager","Advanced Technology Leaders, Inc.
10 hours ago
Within the past 24 hours","Or Akiva, Haifa District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4404008660/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=KQhcCrvJKS8aKPYBMjYiMg%3D%3D&trackingId=D6Myfhtyo%2Fw%2FJaMPznqXqg%3D%3D&trk=flagship3_search_srp_jobs,,
"Submit Resume for Various Positions
Submit Resume for Various Positions","Advanced Technology Leaders, Inc.
10 hours ago
Within the past 24 hours","Or Akiva, Haifa District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4404026235/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=DJNq4Z8eIe%2Frty4FK2lM3Q%3D%3D&trackingId=tDCcl%2BZaH8c5%2F5cGFVMqIQ%3D%3D&trk=flagship3_search_srp_jobs,,
"Cybersecurity Team Lead (ISSM)
Cybersecurity Team Lead (ISSM)","Advanced Technology Leaders, Inc.
10 hours ago
Within the past 24 hours","Or Akiva, Haifa District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4404024328/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2FleimYtNVaJM0btftDDeng%3D%3D&trackingId=XUpgqyYoKv13a4cRCNaFXg%3D%3D&trk=flagship3_search_srp_jobs,,
"Cybersecurity Team Lead (ISSM)
Cybersecurity Team Lead (ISSM)","Advanced Technology Leaders, Inc.
10 hours ago
Within the past 24 hours","Or Akiva, Haifa District, Israel (On-site)",4/20/2026,https://www.linkedin.com/jobs/view/4404011570/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ta3uUqGSVr4RfCf9%2FFrSFw%3D%3D&trackingId=WIrk5fE5P5bVct1OwCUeUw%3D%3D&trk=flagship3_search_srp_jobs,,
