title,company,location,url,date
"Analyste de données
Analyste de données with verification",Tapbuy,"Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4410595309/?eBP=CwEAAAGd-9MVqS3yrcb-R-ClSARMeM73azqsAuOpBBpaiBqkQNOlbEopdg529huGT7FdxZcaNKB1kwdxWC87hQef_R-Q-Jdm6wouUOJK3qFDE0VVm61xqoaTEvHjrZgtGweq5Kbzet7JeWjlw99enzZYqynbSOENVnQ40bpdTmib31OoZGm0Wq8LByek8ZlVN91aGVhMiHe8DxHl4ugZDloePGAvGpnsi6lGHMBasFigvqe2oHn475FZ_vohYWHuvadmrgS_PS2XEZaE9BG1KYe4RzQSQ_hTQb-7ljGEVwEpJ4H0Z8TeLwrbnNm0ffCr6jWt47oacSB0hhTYjyuibtEVWBEaUJFgP9AztIM3rs4T8dP5aiMXlRKjXAD77xNIJG_nAxo-ojTIuScaoEq5hv21t6ljeRkoFcBsB5UGZ7MUKIE1qe0BaT2JWAv9h_C5HobRbV6Z4fAaXjqvBUmJY3skPKUI5ANvKrubfM9z2SE5mfg_XQbElOVFh7k&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=0TnyyLqyzhrT6so2VOXDOA%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"HubSpot Implementation Manager
HubSpot Implementation Manager",Avero,"Raanana, Center District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4404639385/?eBP=CwEAAAGd-9MVqRQ__oqD4qrYrICiM0ODBZBLIht4JC4fDImS7oMQbkSJo2Y5HY7S3g8ZWsK1_jHHuASqQi6b8mBcLSkZlWw7DoRldvJqoiLVOZkOnAoDv9GDv5JETMS5xKVNIHaLLPhU7FdS2ts0yNQasR4JRb-9pMfTKG0BPPcYlk4J-voSlFyUAo-ovBvGWek88wX7mTMEhD6_ntzibXxOeCLL-KOYpPkNK5lUvl5o4iqO2ZJwBrDf8mo4c1LrzYmgz0IXhZ-ma_beDB55jH5CHa5GVr5MDJnnfM23IabiUrdkbpr8iR7ekxuBUFHK_x_kREWXR4Y91ZQSo3LvUSWgIkR3uQo8B5JYks3cR6FfhAGXTkzO1Rfb1N-cBhFJlcOZEWCJTe8hCkmbeYb7yhzOE-P9rPe5kCSKitANa9XfBZtzLBSYLi6w-5RJsx_KiKiezGAKMTqBeCOULmeF3Q&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=avdD0aPLEipv9QFnrwVZEw%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"ERP & Operations Manager | Showroom TLV
ERP & Operations Manager | Showroom TLV",METEX Trade International LTD,"Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408411476/?eBP=CwEAAAGd-9MVqUiRVuNqKpW-q3_Og4HvFXv2ofrhanKdpJzm31MCJ31d948_oxr0MpK8V5J7y5yKmiFcpslf_7kfhl8XN7F6lElMr4O-jOIYhLZkGVA7uprhXK9CHZrjvcoisaA4KBKnc_JmDOZrGfMTT6JaNjwjIHEYoEwpOFZCHk6BiYGtYSn3F2IEgKjDmlcsICyXi80GvZtGx6K7cKg1_IjZkFrMtBWSyWZemVW-UX-GV7OMs52VScjxKJ-UBVgdZ88IAF2gYyVLdLHIWueiDEib9rtDUuCV8QHRZTHlEH_mreNNZVvxwKtu1Eb7LQeZ5_JodtunfZ6CVsbiw32IqOZBiTRdKkPCA4m3BOpcR_-BozPQ_2-L-v85hRrqksPR2bsKkZrSWPTxw1G7VRSVdZlgOcWxMblZiztuWyZbSEFAtMNRuc9NgGlraoe01PZfz_83cQCHMQYQgQopQYH_fvSgf_Ax67vBfUWIOg2pv0nqXo8Jgc6pk0Ljj6Y&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=rhaZaGOtyWLtdUV4OLJ1BA%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Marketing Project Manager
Marketing Project Manager with verification",Gofmans' Smart Marketing,"Ramat Gan, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4410522054/?eBP=CwEAAAGd-9MVqSukrUocgglbhJhLVe1RMBVdVm-F2DW_ppK9vB8P3q7EdKuGVkKbitpAbwflmA0uVJK7AzpssgUGpV8_YG8s_t1e-e2fPrIqYr96fcGDbIZQuIiehyZ_PqUzABEdOlBnZq9wJp84Owd2MLC7F7aPf3Fm0AMup0Xgp7ziAe3-zPkfSQgn5KVTs5bXZhZXDhLibBahDg43pQMdcWzrYPq1Ok0zmTTEixzljNLvL8FEMsUwEQXBjcHkA6RZKx4mOg-MvJKy6FTcsGLCsoICZRIiwOP1zoNj4_LkcIjEz1wQOrH97ODpZ0IHSfUAaU1XG-nnON3bqzAeBrkOtKrmI_lMA0yNrfizDDr4saZuci84PKx0r8hV5N7UlGPhZhGG9bDapqUzi2kn2f3sjJufKHcFkhJNdiucpRwIEzFSNHYj9Of2oPLlvugiuXgLtz3Xq1Ie4xN1jGZXwWdkxwvT8WsBPwt9scjhwXYSRYxvg8cxtJix2w&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=ePoVxO3sb6JQEH%2FGJ6R8QA%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"PPC & Social Manager
PPC & Social Manager with verification",Zoomd Technologies (TSXV:ZOMD) (OTC: ZMDTF),"Herzliya, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408176934/?eBP=CwEAAAGd-9MVqVRlN6gbeXybIV6WxyCQ0NjLVKMsgpR6N8wGaKE3pvLIsQcMX4KfP_q5E50B1Gqp7zdWc399RjoXC21cE-WkTFz4soUUmw8xice8RvATPf87_t4dGhkIqzVmKxGriyhRE2X94ZRp1RZx2OEsNwXAUYTwaqmaWh8pi1RhoCS33qK1v_epHlLCf1qkkxOVN0qlEW6HOU9-pnUdSURoXd59hp0zRZsU25dzTM_wGkywDvtX44XiHH1JMeKX9TnBRbbGWEqrecJHLQktIwRNk4AxlvPzlvO7j7yGENeHeCmwRh_4CLVF-5A5davE2FFDaM8du3DmenoK_aZ8__dJtLKSwRG2KQkyx55WmRNC3xb9tBfYkXrb3GPjfnQ3jOtK8Au0nuBS67T91sl3zYSQS8CFzpspth9rz78CwF-2Pyw-78_37jCrEU7B59oYYCFez3knv_GuBf604gezCiEAZfW3iHWEiEdKaflK1SGVHxOHNcY_3G5r2g&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=6JeMzyVox07%2Bdhizj%2BjMSg%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Marketing Manager
Marketing Manager",Shaare Zedek Scientific (Madait),"West Jerusalem, Jerusalem District, Israel (On-site)",https://www.linkedin.com/jobs/view/4407771352/?eBP=CwEAAAGd-9MVqRi20T2I6IfLAXTVEEzdsYOZxVTfc2AB56k-O7nXRkcizDqh-QdW-C_aUzO2xagQBThhZRM7FFYR8f4eo0xm0V4Vb7MAEMjR_YzLlGKe6Jpzp-tKVRWVcuRXpgG_N--c4z7i8_-oJ5_ec71HIpQL7gKoqhpKs-z03A4XhBSYwbNbjgFUM5E5qM-JIiWPOSvNZU97680SMtROKnAzkME5UdzhgTuOjP0xUR74sBkpbajlNT4TyEfR2JgvMw-PXO4wereUgiNlwnSEvLHSlE_4avgSL1GMD-E5-zYG9EzXkZ7alk18gZv5SXHH7r3V5K1ibj0Hqs_n9WV8Ioywb9FLZztCWzqkVvsmfM4onWjQPa9Do3f0qVcJ05N5A4I28RxHFfuuOHbG1MR5q_mQTLsaqUkzJ7vXmwsh7mk2pKGAAn3rF5dBQ1zmLWkNMTyIOqDslZivXOhNBpkdvE6k4p13f8iGQmYbR5aCU38teJCDTobW&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=L03OggPJww7ZFNesuQpYag%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Junior Prompt Engineer
Junior Prompt Engineer",Sympera AI,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4408177052/?eBP=CwEAAAGd-9MVqXquhtMFNo468_MyAkoHynXG_hYC1vfOD0yibGU4KJIeNAU-GYGVl92h6Udg0sI4tsZNc1L4tG846EG9LSYqKQ8zkuDQv2fyyWra4U3xgTbObANq1neAa4HfcKaunCXMvqALM0Tr_VTzPOjhI9r0-wiouJybIXNZL1CDCR_SyIRAL2IULE1rs_nxBGsFF6f5VrtDYhg-DD1qS_iakpOe_FjA1bXpA_Sw3VqsFT4LSM9aj2cYZHxWChRaw9Mcb7x1bBFPCPFf_LwLYOMS_5MjcLvOOOOmNkWDlEiAUIlcD3ULXdcm2_pgLPnshquUfA-PSNnbMebGCdYM6rrLbEG5pHZkkOsfotM3NKAD4kYR4lk1AYCIgETlbr5XBwwPha-dTEiu-0iNOuHtkd2Llqc9TqtbYrUeqDWqlgrco4AQN88NC-hT-CoNAzAvdf0loIMaF2D8HAL9WkB9Ba59p0A-zuj6YB7-suz7tqAQuHF60bVJ9ZAB&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=PTXajE54c%2FGkBz35%2BBYqAA%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Compliance Specialist
Compliance Specialist",CISO99,"Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4408410760/?eBP=CwEAAAGd-9MVqeSafi7TnQnDB-6fJDFXf_BwRXpLJ5PEsRF7kc9Yf3YWkxeeEiWb4tjTDC2KP9RjwRKj-uSr7SDSH6U0N9aCU7rIqJuym7aw1Ksxk4r7ajPQrfaJpuQeUbRMWbzeaumzxmHN-QLOj_8tmsTDEC4EZ_OuJOdG1hQGtFf3JPR_0elhE4q8ELzsqNnwXUKnqG1y93JYiykurGGA_MDE-84r63FI2kz3_g6_QdlHBLw-YO2ojPKH4MxjcdiJIA7XsxXxl2kB74PZwCgmpqofKoCxDa0y8Glv-DbF2Sye2Vudo_Ik4VSO6iWVp8Gg0DnlGZq1MpEwcyVIoy_TYJyfPHhuTeIuj9s_VVlX6U3O573KrX47GFPx5ViiMQzZ0dNQA08CJDDDuYmtMGJqr8WynOu6h04SzzG5um8vBbOWLo6q30WjuNm4lD3sOBrMwg5Qhkh25EMAk5Mce1cxP3rvSrk0ek7k6lT2UygXeU2IEj4Fi0ZpQ4rh&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=eTuWd0iz6aKaReysqhTcOw%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Associate
Associate",Or-Hof Law,"Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408419765/?eBP=CwEAAAGd-9MVqdbUL0th8NIwSOrjOljLHkdjolikLp7ZqKf4kXTJ_T_vbpH2hoRURM6R9PBMUlvrByCxGYDdnuctwGQ_1-M37H7fDEhGxwTExChLh3UT_vtZ1PvY0FjWotopDX1d98nQ08VNpP7AxRHOiELzOlYRc7lPNYsRmTIBhjmC4bCIh4Ni3OBygKwY98lCekmg3Loa9_4AXe-UQ5bxOvbbCFvbFiV4ZWj_npsjC94feOn-HWFfRT_CIhOaqV4LD9dbmcr9QieUOJFaxrYq7bwinwi9p5k2O5k9V89jZA6HhhHtMdXHU6KK4RqamEKoPfQ_yaKw6ity1mlnARy4VFn0oV-jXmDYPRMccz9lJDZ0UJcL2SvVJXbie5VSVwr4ETdjBdhqgLOelJuCncDB-BLSH3e3MDjhDaOAgt0JQBKQ2yqc_-CERbShZGltUuy1GuH5eVYt90Ir0COxedhg1z-7co7akkwp11CebavS4ANkSOiA0r1vfMRFAoY&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=UJHMsf%2B8QT8GC%2FBGwBggJA%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Marketing Manager
Marketing Manager with verification",Briya,"Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4409849854/?eBP=CwEAAAGd-9MVqS5DDpK-zdA1sG_C9aSOfRFHOrhTq5QWTuopWAvvwvGVXXcQnl1jv4i9POa8378FCzFOGSocVFRutzGk38KDVEY-Bofnbwc6NDQK2yiNnDTB-_fUav4BlNbqPJcSwMupxxHvdG1hVo6tpX3i3OQg6qvadxxIn_qAqHZfNOvad0D4nxGSzgLOeUhtJOJ8KpFwFECPo1VvKdOxz3p6hs-EOdiFa1HY3NCRPDL8krnWocMwXWrCnroGEs6fIz4DHWPjMjMc5Pr9qhqCS6ND1wCgWtapuTpeJzZstrdtWNo87YX1hAAi9Kx7r87JThnyCAKZm8RUlDkOWwLPdQG568fnSLEYBgp9m0xsHBjsVByVWU_ZVP0BITaZZJkFc8g6KJ8ptPd0ygg4OI8sVopR-P4R9hI2M2wmGZSZHVtQRAII-0u3l15SqUgfKdBHw_7hBKBd7kHGzp7xmzTZzECO85lcsF7iDhdW28ZPV2NJKoaVnVa3StFU&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=h5IqaNV1yXdCcZQ8Qw2Kzg%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"QA Manager - Industrial and Aerospace sectors
QA Manager - Industrial and Aerospace sectors",Pronat Industries Ltd.,"Emek Hefer Regional Council, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408183350/?eBP=CwEAAAGd-9MVqSIJsr2OnREDtB1BaEWf1_RpYGtiuA1KVUDPi3U2uVaTynXOild7tcAZoPPWjNY26TNeCoELaspXP9n-Y-G3hCLwXuu1UyutypIIVsGeDxPrWSYP5aWQfnmgQZPyGgHA2VA4FUpPn7Jk0e4619YKfWXnRaRP7JFgmKcpjeWO__nO7sFk330rHwrDZ4wHcw2cWQ_qNa9q2kUwE96-4IPj_c0DnIlY4YHZDk8MBT6x-TBLfBpVPy8hOeh9LHmwD4Rx54qxpghaWHat-8X4lQPaoZ31gYgSWDylkP5cIIw1-5iHn9SjC1FM_eCdpukfMCVJlcYRlaqV0KFePI9XuNTb1oJGlYUivXN5W-jfh8P-zddEN1muR1tuwbnEV33guZg3ymP6Kde1aXFWlj5rXVRn9pvflxzmrzn12nhCRZ16rnTq0_pvdoWG_A20W_mxyueGD-Hty6zdpOH_ZSLpB2B1wdWi7R1bDsfW9ghah0i7HnZH2ZsH&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=ssDxUPkK0ZTCUxGO4UBMEg%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
"Revenue Operations Analyst
Revenue Operations Analyst with verification",Verbit.ai,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408418437/?eBP=CwEAAAGd-9MVqczDhn8kDimjaRrYu8cw746Hd4zQgOEZSRVtICb7HkSZGzwQaxQp7IIIXIEPu4Q5FrJlpz7yC9iGOjJS8mqLLLb-jj7asb0UPKXazMyJbJYaj0q78tM--2b7mHKIiozNN5mYO_4fojTgbOQtgwqITxrrJ2TTf_0QgSEL81hS-YdYus2fPQowZhKEQHtApinjyJA8hrxwkefFKKnguPQnOJqh8iFGOUygIUf0QHidmDJYS1S_8PJzG5MtljPMZkZJo6nxneAq6vygQ-CISnmNdHqotxnV2Pezp3VZ4gOr-unyPnPIsC_7KxMih5gjEped4UD545sJLp0kwB1J5b31Df0krmYqw_b8lVjyon-sT_zAjYjH_vxlQ_Usk_ZMXmO3JFuQsqS2X880A_YuNOFRBioRr36SJ9IJfGVBgEwHQrOHC3hGMtpHxRcVGXejc1x_09_GbwI_tmp2pIS787-671OSp3eT&refId=FrixK2jwLFyBrMGqzyZNkQ%3D%3D&trackingId=%2BJCBugW9LYAPTsXrildTGQ%3D%3D&trk=flagship3_search_srp_jobs,05/06/2026
