title,company,location,date,url,department,workplace_type,description
רכז/ת נוכחות לאגף משאבי אנוש,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://www.rambam.org.il/about-rambam/careers/jobs/#ctl00_ctl00_MainPageContentPlaceHolder_SVSrvPrezZoneHolder0_ctl03_ctlItems_ctl01_ctlFaq,,,"תיאור התפקיד בקרה שוטפת על דיווחי נוכחות במערכת וטיפול בהם (קליטה, בדיקה ואישור נתונים). מתן מענה לעובדים וטיפול שוטף בנושאי נוכחות - זכאויות, יתרות, היעדרויות, שעות נוספות, ימי מילואים, חופשה ומחלה. הפקת דוחות נוכחות חודשיים והעברתם למחלקת שכר. הפקה וניתוח של דוחות תקופתיים."
ראש/ת מינהל למכון המחקר CRIR,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://campaign.adamtotal.co.il?d=7j9nu6kp8XybB4%2fA6DWM6g%3d%3d,,,"תיאור התפקיד אחריות ותמיכה אדמיניסטרטיבית, תפעולית ופיננסית של המכון לצד מנהלת המכון ניהול תקציבים, חוזים, ספקים ומענקי מחקר עבודה שוטפת מול גורמים פנים וחוץ ארגוניים - כולל הנהלה, חוקרים, גורמי מימון ושותפים אקדמיים ועסקיים בארץ ובחו""ל שותפות בפרויקטים שונים של המכון - כולל ארגון כנסים ואירועים, הובלת תהליכים ויצירת שיתופי פעולה אחריות על עמידה בדרישות רגולציה, נהלים ודיווחים דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון קודם בניהול אדמיניסטרטיבי או תפעולי ניסיון קודם מארגון גדול - יתרון ניסיון בניהול תקציבים והבנה פיננסית שליטה מלאה בעברית ובאנגלית (בכתב ובעל פה) כישורים נוספים יכולת הנעה ויצירת שיתופי פעולה מול מגוון ממשקים נכונות לשלב עבודה אדמיניסטרטיבית עם עשייה תפעולית ודינמית אחריות אישית גבוהה יכולת למידה עצמית גבוהה יכולת להתמודד עם עומס משימות מורכבות גישה שירותית תקשורת בין-אישית מצוינת זמינות לעבודה מעבר לשעות בעת הצורך, כולל עבודה מול חו""ל למה להצטרף אלינו? השתלבות בתפקיד משמעותי עם השפעה וגיוון עבודה מול הון אנושי מצוין בסביבת עבודה מחקרית בינלאומית פוטנציאל צמיחה והגדלת תחומי אחריות יציבות תעסוקתית גבוהה"
בקר/ית תקציבי/ת למחקרים קליניים,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://campaign.adamtotal.co.il?d=FI9fEMXr1rclS4Dw3rCuGw%3d%3d,,,"תיאור התפקיד בקרה תקציבית על מחקרים קליניים בשטח ליווי בניית תקציבי מחקר בהנחיית כלכלן אגף המחקר מעקב אחר ביצועי המחקרים והבטחת גבייה בהתאם לפעילות שבוצעה ממשק יומיומי ועבודה שוטפת עם אגף הכספים ואגף המחקר, כולל מתאמות ומתאמי מחקר וחוקרים עבודה מול צוותים והון אנושי מקצועי ומוביל בתחומו דרישות התפקיד תואר ראשון בתחום מדעי או בכלכלה/מנהל עסקים ניסיון קודם בתיאום מחקרים קליניים - יתרון ניסיון קודם בתפקידים כלכליים - יתרון ניסיון קודם בעבודה עם תקציבי מחקר או מערכות בריאות - יתרון שליטה מלאה בתוכנת אקסל כישורים נוספים יכולת אנליטית וירידה לפרטים יכולת עבודה עצמאית וביצוע בקרה בשטח יכולת עבודת צוות תקשורת בין-אישית טובה ויכולת עבודה מול מגוון גורמים"
עורך/ת דין לאגף המחקר,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://campaign.adamtotal.co.il?d=WtunPv%2fFUN5f512QZcOslw%3d%3d,,,"תיאור התפקיד מעבר על חוזים בתחום המחקר הקליני וניתוחם כתיבת הערות משפטיות ואישור חוזים ניהול משא ומתן מול גורמים בארץ ובחו""ל עבודה שוטפת מול עו""ד נוספים, חברות גלובליות ומקומיות וגופים אקדמיים ביצוע שיתופי פעולה עם משפטנים, חוקרים, מתאמות מחקר ובעלי עניין נוספים מתאים גם לעו""ד שסיימו התמחות בשנתיים האחרונות דרישות התפקיד רישיון עו""ד בתוקף ניסיון קודם בתפקיד דומה - יתרון ניסיון קודם בעבודה עם חוזים בינלאומיים - יתרון היכרות עם תחום המחקרים הקליניים / פארמה / רגולציה - יתרון שליטה מלאה בעברית ובאנגלית (כתיבה, קריאה ודיבור) כישורים נוספים יכולת אנליטית גבוהה וירידה לפרטים יכולת עבודה בצוות כישורים בינאישיים טובים"
מינהלן/ית לאגף אונקולוגיה,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://merkava.mrp.gov.il/giusp/index.html#/,,,"תיאור התפקיד ריכוז נושאי המינהל, המשק והתפעול באגף חדשנות, הובלת צוותים, תכנון וייעול השירות ניהול תקציבים ותכניות עבודה ביצוע בקרות שוטפות עבודה מול צוותי רפואה, סיעוד והנהלה דרישות התפקיד תואר ראשון רלוונטי | תואר שני - יתרון ניסיון ניהולי קודם ניסיון קודם בשיפור תהליכים או הובלת פרויקטים - יתרון יכולת הובלה והנעה גישה שירותית ויוזמת לתשומת הלב, הגשת מועמדות בלינק אתר המשרות של נציבות שירות המדינה מכרז פומבי מספר 139896 ניתן להגיש עד ה- 14.05.2026"
מזכיר/ה רפואי/ת,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://tinyurl.com/2dzhcuzg?latest,,,"תיאור התפקיד עבודה מול מגוון צוותים: אדמיניסטרטיבי, סיעודי ורפואי עבודה מול מוזמנים ומטופלים עבודה מול יומנים וזימון תורים דרישות התפקיד 12 שנות לימוד לפחות תעודת מזכירות רפואית ניסיון קודם בתפקיד דומה - יתרון ניסיון בעבודה אדמיניסטרטיבית כישורים נוספים ייצוגיות ויחסי אנוש טובים יכולת למידה מהירה שליטה מלאה בתוכנות Office"
"מזכיר/ה ללשכת סמנכ""ל הכספים","הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://campaign.adamtotal.co.il?d=qpJtuL3uQRHPf9Gjgvsd2Q%3d%3d,,,"תיאור התפקיד ניהול יומן דינמי ותיאום פגישות מרובות משתתפים סיוע שוטף למנהלת הלשכה הכנת חומרים לפגישות, מצגות וישיבות לפי צורך עבודה מול ממשקים בכירים בארגון ומחוצה לו דרישות התפקיד ניסיון באדמיניסטרציה בכירה של דרגים גבוהים – לפחות שנתיים שליטה מלאה ביישומי Office בדגש על Outlook ו-PowerPoint שליטה בשפה העברית כולל יכולת ניסוח בכתב ובעל-פה השכלה אקדמית - יתרון כישורים נוספים י כ ו לת ע ב ו דה ב סב י ב ה מ רו בת מש י מות ותחת לח ץ סדר, א רגון ו י כול ת ת עד ו ף גבוהה י וזמ ה , א חריות א ישי ת ויכולת הגדלת ראש יחסי אנוש מצוינים ויכולת עבודה עם דרגים בכירים, תוך שמירה על דיסקרטיות ואמינות ברמה גבוהה מאוד"
נציג/ת שירות טלפוני למרכז המידע,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://www.rambam.org.il/about-rambam/careers/jobs/#ctl00_ctl00_MainPageContentPlaceHolder_SVSrvPrezZoneHolder0_ctl03_ctlItems_ctl08_ctlFaq,,,"תיאור התפקיד מענה טלפוני מול מוזמנים, מטופלים ומתעניינים עבודה עם מגוון מערכות רפואיות ממוחשבות"
דימותן/דימותנית,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://campaign.adamtotal.co.il?d=yOy%2bMiokzosiqP%2beSOtv1w%3d%3d,,,"תיאור התפקיד עבודה עם מערכות דימות מתקדמות (CT, MRI, US ועוד) התמקצעות בבית חולים על-איזורי, מרכז טראומה משמעותי עבודה כחלק מצוות רב-מקצועי מוביל בתחומו הזדמנות לעבודה יציבה לטווח ארוך דרישות התפקיד תואר ראשון בדימות רפואי B.Sc רישיון כ""דימותן רפואי"" ממשרד הבריאות ניסיון קודם בתחום הדימות – יתרון נכונות לעבודה במשמרות כישורים נוספים כולת סבלנות ואמפתיה יכולת עבודה מול ממשקים מרובים אחריות אישית גבוהה מחויבות ורצון להשתלב בתפקיד לטווח ארוך"
כלכלן/ית לאגף כלכלה ופיתוח עסקי,"הקריה הרפואית רמב""ם",Haifa,2026-05-07,https://tinyurl.com/2ccfvf9e?latest,,,תיאור התפקיד תמחור וגיבוש תוכנית עסקיות לפיתוח שירותים רפואיים חדשים ניטור וניתוח נתונים השתתפות בפרויקטים דיגיטליים מתקדמים שותפות בפיתוח והצמחת בית החולים הגדול והמתקדם בצפון דרישות התפקיד תואר ראשון בכלכלה / הנדסת תעשייה וניהול ניסיון בתפקיד דומה - יתרון ניסיון ממערכת הבריאות - יתרון כישורים נוספים יכולות אנליטיות גבוהות גמישות מחשבתית יכולת עבודה בצוות כישורים בינאישיים גבוהים נכונות להשתלב בעבודה מאתגרת לאורך זמן
