title,company,location,date,url,department,workplace_type,description,requirements
"מ""מ חשבת שכר",שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2895,,onsite,"אחריות על הכנת תשלומי שכר לעובדים במגזרי מנהל ומשק ופר""ר ורופאים. חישוב שכר, ביצוע סימולציות בהתאם לשינויים החלים במשק ובהתאם להסכמים קיבוציים, ביצוע בקרות שכר והתאמה בין נתוני הדיווח והזנת תיקונים נדרשים במערכות השכר והנוכחות, הגדרת צרכים בתחום הנוכחות, מעקב ובקרה של ביצועי חישובי נוכחות וניהול מערך ההיעדרויות, הנפקת דוחות ונתונים בתחום השכר והנוכחות, ביצוע תהליכי בקרה שוטפים וטיפול בשגויים, ליווי ותמיכה למשתמשים במערכת הנוכחות (חילנט), מתן שירות ומענה לעובדים בסוגיות מעולם השכר והנוכחות. ביצוע תפקידים נוספים בתחום המקצועי, בהתאם להוראות הממונה.",":
1.תעודת חשב שכר בכיר מטעם  לשכת  רואי  חשבון  - חובה.
2.תואר ראשון/שני- יתרון.
3.ניסיון של לפחות שלוש שנים בתחום, בחברה גדולה (לפחות 2,000 עובדים)- יתרון  משמעותי.
4.ידע ואוריינטציה בעבודה במחשב, OFFICE, ואקסל ברמה גבוהה- חובה.
5.ניסיון במערכות שכר ונוכחות גדולות- עדיפות לHILAN ושליטה במחולל דוחות אופק- יתרון.
6.ידע וניסיון בעבודה עם הסכמים ציבוריים- יתרון.
7.יכולת למידה עצמאית, יכולת עבודה והשתלבות בצוות, שרירותיות, סדר וארגון, יכולת דיוק וירידה לפרטים, יכולת עבודה תחת לחץ, יחסי אנוש טובים ויכולת שירות מצוינת."
אח/ות מומחה/ית בכירורגיה,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2897,,onsite,"שותפות בהובלה מקצועית ואסטרטגית של תחום הסיעוד הכירורגי
קביעת סטנדרטים קליניים והטמעתם בשטח
הנהגת צוותים, חניכה והעצמת צוות סיעודי
שותפות בקבלת החלטות מקצועיות ברמה המחלקתית והארגונית
קידום יוזמות לשיפור איכות, בטיחות וחדשנות בטיפול
דרישות:
רישיון סיעוד בתוקף
תעודת אחות מומחית בכירורגיה (או בתהליך מתקדםניסיון קליני משמעותי בתחום הכירורגי
יכולת הנהגה, ראייה מערכתית ויוזמה
כישורי תקשורת והשפעה ברמה גבוהה
הגשת קו""ח
שיתוף משרה
הגשת מועמדות
צירוף קורות חיים
בחר קובץ
שם מלא
תעודת זהות
טלפון נייד
דוא״ל
היקף משרה מועדף
בחירה
אישור
ביטול
האם יש לך קרובי משפחה בשערי צדק?
כן
לא
הגשת קו""ח
פייסבוק
קישור לדף פייסבוק – שערי צדק
לינקדאין
קישור לדף לינקדאין – שערי צדק
אינסטגרם
קישור לדף אינסטגרם – שערי צדק
לאתר הראשי של שערי צדק
POWERED BY
NILOOSOFT HUNTER EDGE",
טכנאי אלקטרומכניקה וגזים רפואיים,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2894,,onsite,,
"מתאמת תוכניות לימודים בביה""ס לאחיות",שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2887,,onsite,,
מנהל/ת דיגיטל,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2880,,onsite,,
מאמן\ת כושר למחלקת שיקום לב,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2853,,onsite,,
עוזר/ת רכז/ת הרשות למחקר ופיתוח,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2846,,onsite,"סיוע אדמיניסטרטיבי ותפעולי לרכזת הרשות למחקר ופיתוח, תוך תמיכה וניהול שוטף של פרויקטים מחקריים בבית החולים. התפקיד כולל עבודה שוטפת מול חוקרים, יחידות פנים-ארגוניות וגורמים חיצוניים.
תחומי אחריות:
•	הפקה, ארגון וליווי אירועים מקצועיים, כדוגמת כנס מחקר, ימי עיון, מפגש חוקרים.
•	תפעול וליווי פעילויות העשרה לחוקרים כולל קורסים, הרצאות וסדנאות.
•	ריכוז תוכנית מענקים: הפצת קולות קוראים, ריכוז הצעות מחקר, תיאום ועדות שיפוט והעברת החלטות לחוקרים.
•	מתן מענה שוטף לחוקרים ותיאום מול נותני שירות (כגון סטטיסטיקאים, עורכים מדעיים ועוד).
•	עבודה שוטפת מול מגוון רחב של ממשקים בתוך בית החולים ומחוצה לו.","•	תואר אקדמי בתחומי מדעי החיים – יתרון משמעותי.
•	ניסיון אדמיניסטרטיבי של 2–4 שנים, עדיפות לניסיון במוסד אקדמי/רפואי.
•	יכולת גבוהה לניהול זמן, סדר ודיוק בביצוע משימות.
•	יכולת עבודה עצמאית, יוזמה, אחריות אישית ויחסי אנוש מצוינים.
•	שליטה מלאה ביישומי מחשב ותוכנות Office.
•	כושר ניסוח גבוה בכתב ובעל פה בעברית ובאנגלית."
מפקח\ת משק בית,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2801,,onsite,,
רכז\ת גיוס וסורסינג,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2800,,onsite,,
רוקח\ת לבית מרקחת,שערי צדק,Jerusalem,2026-05-12,https://szmc.hunterhrms.com/%d7%a4%d7%a8%d7%98%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/?jobcode=JB-2741,,onsite,,
