title,company,location,date,url,department,workplace_type,source
פקיד/ה סוכן ביטוח אלמנטרי,,רחובות,2026-04-25,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=03424c9a-8390-42dd-9ee3-62380ac6cf0e,,,taasuka
דרוש\ה מזכיר\ת שירות לחברת מחשוב וסייבר,,באר יעקב,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=07f5f3f1-672e-4764-a0b8-4168d6bc707b,,,taasuka
לגני האיכות של ניוטון דרושות נשות חינוך לגיל הרך,,תל אביב - יפו,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=873ec3dc-f3b9-463d-9574-348678a3c982,,,taasuka
מנהל/ת חשבונות סוג 2/3 / חשב/ת שכר,,פתח תקווה,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=0906e1b5-985a-4144-92a2-00b339753c98,,,taasuka
מתאם/ת אופרציית מכירות (Back Office) – לחברת ארגוקום,,ראשון לציון,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=e00a2431-12c2-4e77-8af3-954fa5ca942f,,,taasuka
לחברת ארגוקום דרוש/ה תותח/ית מכירות B2B לשטח,,ראשון לציון,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=eadcdf80-68f9-46f5-991b-ccd41d5ca991,,,taasuka
דוור לחלוקת עיתונים,,ירושלים,2026-04-24,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=cb55dfe0-0be3-417d-a1c4-0f0765a727e2,,,taasuka
אחראי/ת משק ותחזוקת משרד,,ירושלים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=c65c97fc-4d80-4fef-b3ce-2b9a0eecc228,,,taasuka
לגני האיכות של ניוטון דרושות נשות חינוך תותחיות לגיל הרך!,,כפר שמריהו,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9d90ab9f-e994-42f2-a8cc-e5a61d80a440,,,taasuka
חשמלאי/ת מוסמך/ת,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=1155716d-582a-4bc3-8c0c-ff81f6465689,,,taasuka
קונדיטור/ית,,בנימינה-גבעת עדה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=aba97cbd-c60d-4cde-babd-3580f756f4ac,,,taasuka
תומך/ת  JB-210 IT,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=01967429-782e-4ac4-8f51-375c58bf7857,,,taasuka
מתכנן/ת רתמות  JB-319,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9b31d69d-2002-4648-8a1f-386a5b489835,,,taasuka
חווט/ת כבלים 14104 JB-28,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=bf0391d2-0749-4417-803a-bd132399a76c,,,taasuka
שרטט/ת  JB-323,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=560f70ed-3e3c-4c6d-b14d-9fe4bab85896,,,taasuka
עורך/ת דין JB-237,,זכרון יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=216bea32-2dab-4cf5-892e-ebbbd6873803,,,taasuka
עובד/ת פס מזון,,בית שמש,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9b437a7e-aa4a-42d8-8b04-870e37e24e79,,,taasuka
"נהג/ת אוטובוס שיוכשר לתפקיד,",,תל אביב - יפו,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=fcc68cca-4433-4eca-ad87-24fadc488458,,,taasuka
סטודנטים/ות לאגף מערכות מידע ומיחשוב,,רמלה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=007a4bd7-766c-4a48-adf6-665e4725c02f,,,taasuka
עובד/ת ניקיון,,באר יעקב,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=01eb7e34-0dfb-493f-ba26-12f85e8396b4,,,taasuka
דרוש/ה קופאי/ת לאיקאה - סניף נתניה,,נתניה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=ccbcced8-0ec7-4406-9b87-bdc870272d8d,,,taasuka
טכנאי/ת תקשורת,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=8562e990-2121-4a32-ba29-0978638fda28,,,taasuka
עובד/ת נשקייה,,בית שמש,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=f1ec0502-ec91-4b47-bb33-2a50f41dcc18,,,taasuka
טלר/ית בבנק,,ירושלים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=050ed982-e41c-434d-a716-161876a3be93,,,taasuka
עובד/ת כללי משרה 1612,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=87c6e987-5d1c-4b46-a28f-7b18f6eddff8,,,taasuka
איש/ת מכירות שטח,,קיסריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=97d44470-1c23-4b77-8089-ae361508a355,,,taasuka
פקיד/ת בק אופיס,,קיסריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=ffb38f43-5c85-43a5-b56c-df5c7a4f7741,,,taasuka
נהג/ת משאית עד 15 טון משרה 1487,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9215eb74-1435-4dd0-ab21-66b478440be0,,,taasuka
מהנדס/ת אוטומציה,,קיסריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=939e5ec7-1ca1-4736-b109-8635a48a2c1f,,,taasuka
Customer Success Manager (CSM),,ראש העין,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=2a48f539-63d9-45f1-9c78-b265c24b66d9,,,taasuka
מנהל/ת בקרת איכות,,קרית שמונה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=011aeae0-2c41-4050-ac0b-9770d7ed326a,,,taasuka
מדריך/ה מוביל/ה,,חיפה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=52f81561-fb6b-49cd-88a4-7309e8f33ed2,,,taasuka
רפרנט/ית גבייה משרה 1500,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=358b6de2-8482-4545-a5e5-993d1fe3d886,,,taasuka
עובד/ת כללי/ת,,קרית ביאליק,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=544588c9-c51a-4d11-9707-0c4f6ce174bc,,,taasuka
מכונאי/ת אחזקה 1455,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=c76a8cf4-b21e-4951-bd07-e2b1e5f30c65,,,taasuka
מנהל/ת משרד,,חיפה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=310ed4de-90c5-4456-86e0-2b576ef35250,,,taasuka
מחסנאי/ת,,קיסריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=1691d4c0-55ca-4af5-91bf-a46a91fe18ca,,,taasuka
מפעיל/ת מכונות,,חיפה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=6b033d03-85f6-4aa5-b457-82a34f457bad,,,taasuka
נציג/ת שירות לקוחות משרה 1576,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=764a8cdb-4965-4eab-8523-c376dc9abfa1,,,taasuka
נציג/ת שירות - מוקד 103 חברת החשמל,,חיפה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=5a43a59b-2959-4661-a10e-0633c836128e,,,taasuka
עובד/ת ניקיון,,קרית שמונה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=dadc4ac9-40ac-4e7e-a76e-a6009dd9a65c,,,taasuka
עובד/ת תפעול מגורים,,בית שמש,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=176bc87c-1443-4ff4-9166-525cf3d694e6,,,taasuka
מפעיל/ת מכונת CNC משרה 1532,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=5e725ee7-1108-4708-9d7d-bde62653f83d,,,taasuka
מכונאי/ת JB-64,,גן שמואל,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=61f3b05e-43a3-4f05-b430-678f40659d71,,,taasuka
"עובד/ת לחנויות ש.א.ל תעשייה אווירית נתב""ג",,לוד,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=d85208d4-53ad-4680-a69b-3007e8cea739,,,taasuka
מזכיר/ה,,ירושלים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=6d2d9ee2-a8e8-4298-a1a5-97320a6f919c,,,taasuka
ניקיון משרדים,,חיפה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9f5b577c-34b5-46fd-9be7-92f23b970482,,,taasuka
מנהל/ת חשבונות  + חשבשבת,,סגולה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=59d05ab1-fc32-4ce9-b4c9-4a8177f0b5c4,,,taasuka
"מזכיר/ת משרד לחברה מובילה בתחום הנדסת המים-  החלפה לחל""ד עם אופק",,רמות מנשה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=e31b08c8-54fe-4520-81fa-3ed3ebec473e,,,taasuka
"פקיד/ת הנח""ש",,טבריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=3c445410-82b5-45bb-bbeb-2bb3e637d318,,,taasuka
"מזכיר/ה מ""מ",,ירושלים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=abb0b085-f978-4e36-a102-376b869606b4,,,taasuka
טכנאי/ת מיזוג אוויר - אחזקה,,בית שמש,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9a4a7ae6-05b5-4ec3-8ffc-198f7ae84f39,,,taasuka
מחסנאי/ת 1479,,אשקלון,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=7625cef7-1825-4eef-8ea2-6aa934c3d47b,,,taasuka
מלגזן/ית חבק,,קיסריה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=4ac5b6bd-afc9-48b2-8f73-6a4d793c4957,,,taasuka
פלנר/ית חומר גלם וקו ייצר  JB-680,,באר טוביה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=c42f93a3-e2e6-45c4-a472-995e4b74a590,,,taasuka
טבח/ית,,עין צורים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=815b0e92-72e2-4e7b-95f4-a7e73f0ed4c8,,,taasuka
מזכיר/ה,,עין צורים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=a9b56977-c871-49dd-be62-b8c8f2e69515,,,taasuka
עובד/ת למוקד שליטה ובקרה,,בית שמש,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=d709ed7d-8a11-44cd-9429-47d5adb8691a,,,taasuka
רפרנט/ית תפעול ביטוח אלמנטרי,,ירושלים,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=3b8d6e4d-34a1-49a9-8638-3a583cff7831,,,taasuka
מנהל/ת מעון,,קרית מלאכי,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=4564b754-7c70-4bcc-82d7-1a6cd11afb8f,,,taasuka
ראש/ת צוות,,נוף הגליל,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=18f160bf-5215-4086-939a-137dd585df71,,,taasuka
טבחים/יות,,פתח תקווה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=8278427e-ee01-4985-89f0-722acfb72172,,,taasuka
עובד/ת כללי/ית,,בית שאן,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=7ca21fe3-385a-4827-bb42-1e4a114d443b,,,taasuka
נציג/ת שירות רשות האוכלוסין,,קרית גת,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=9407ca75-b155-46a8-b1b6-0a9ca06be8d9,,,taasuka
עובד/ת אספקה סטרילית,,רמלה,2026-04-23,https://www.taasuka.gov.il/he/Applicants/jobdetails?jobid=95ace9e7-5f26-44e8-836d-0c78b3b25269,,,taasuka
