title,company,location,date,url,department,workplace_type
איש/אשת סיסטם ותשתיות מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20111008,הפקולטה להנדסה אזרחית וסביבתית,onsite
רכז/ת קשרי תעשיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20217001,הפקולטה לארכיטקטורה ובינוי ערים,onsite
מנהל/ת מעבדה בעל/ת הכשרה ביולוגית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20317001,הפקולטה להנדסת מכונות,onsite
רכז/ת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20414007,הפקולטה למדע והנדסה של חומרים,onsite
תומך/ת מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20414011,הפקולטה למדע והנדסה של חומרים,onsite
"מהנדס/ת מעבדת בקרה, רובוטיקה ולמידה חישו",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20514008,הפקולטה להנדסת חשמל ומחשבים,onsite
מהנדסת או מהנדס ראשי פקולטי,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20514010,הפקולטה להנדסת חשמל ומחשבים,onsite
מהנדס/ת אחראי/ת למעבדות יסוד (הוראה),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20517006,הפקולטה להנדסת חשמל ומחשבים,onsite
מנהל/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20517012,הפקולטה להנדסת חשמל ומחשבים,onsite
מהנדס/ת מעבדת הוראה לכימיה פיסיקלית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20611012,הפקולטה לכימיה,onsite
תומך/ת IT,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20617001,הפקולטה לכימיה,onsite
מהנדס/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20814012,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite
מהנדס/ת מעבדת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20911017,הפקולטה לפיזיקה,onsite
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=20914015,הפקולטה לפיזיקה,onsite
רכז/ת מנהלית לתארים מתקדמים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=21917001,הפקולטה למדעי הנתונים וההחלטות,onsite
רכז/ת במדור מלגות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22617005,"ביה""ס לתארים מתקדמים",onsite
מהנדס/ת מעבדת מחקר והוראה לאנטומיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22713002,הפקולטה לרפואה,onsite
"מהנדס/ת מעבדה- משרה זמנית להחלפה לחל""ד",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22713012,הפקולטה לרפואה,onsite
מהנדס/ת מעבדה חישובית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22717009,הפקולטה לרפואה,onsite
רכז/ת תארים מתקדמים ובינלאומיות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22717033,הפקולטה לרפואה,onsite
מהנדס מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22717037,הפקולטה לרפואה,onsite
מהנדס/ת הדמיה פרה-קלינית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22720052,הפקולטה לרפואה,onsite
מנהל/ת מערך הספריות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22916001,הספריה המרכזית,onsite
רכז/ת שימור והנגשת אוספים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22916055,הספריה המרכזית,onsite
עובדת או עובד אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=22950016,הספריה המרכזית,onsite
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23217002,המכון למצב מוצק,onsite
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23414002,הפקולטה לביולוגיה,onsite
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23414023,הפקולטה לביולוגיה,onsite
מנהל/ת מעבדה להובלת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23417001,הפקולטה לביולוגיה,onsite
מנהל/ת המרכז הקדם אקדמי בטכניון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23717001,המרכז לחינוך קדם אקדמי,onsite
לבורנט/ית מדעי החיים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=23744605,המרכז לחינוך קדם אקדמי,onsite
יועץ/ת חינוכי,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24517001,לשכת דיקן הסטודנטים,onsite
ראש לשכה ורכז/ת אדמיניסטרציה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24610006,מערך משאבי אנוש טכניון,onsite
רכז/ת משאבי אנוש,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24690006,מערך משאבי אנוש טכניון,onsite
