title,company,location,date,url,department,workplace_type,description,requirements
רכז/ת קשרי תעשיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה לארכיטקטורה ובינוי ערים,onsite,,
מנהל/ת מעבדה בעל/ת הכשרה ביולוגית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה להנדסת מכונות,onsite,,
רכז/ת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה למדע והנדסה של חומרים,onsite,,
תומך/ת מחשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה למדע והנדסה של חומרים,onsite,,
מהנדסת או מהנדס ראשי פקולטי,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה להנדסת חשמל ומחשבים,onsite,,
מהנדס/ת אחראי/ת למעבדות יסוד (הוראה),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה להנדסת חשמל ומחשבים,onsite,,
מנהל/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה להנדסת חשמל ומחשבים,onsite,,
הנדסאי/ת מעבדת הוראה לכימיה פיסיקלית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה לכימיה,onsite,,
תומך/ת IT,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה לכימיה,onsite,,
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite,,
