title,company,location,date,url,department,workplace_type,description
מנהל.ת לשכת אגף לוגיסיטיקה ותשתיות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-06,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197834,אדמינסטרציה,,"לאגף לוגיסטיקה ותשתיות, אגף מרכזי, רחב ומרובה ממשקים במרכז הרפואי, דרוש.ה מנהל.ת לשכה לתפקיד מגוון ומשמעותי הכולל תפעול שוטף של הלשכה, תיאום בין גורמים שונים ומתן מעטפת אדמיניסטרטיבית וניהולית לפעילות האגף.




במסגרת התפקיד:


אחריות על ניהול יומן מורכב ותיאום פגישות מרובות משתתפים, תוך הסתכלות קדימה, תיעדוף משימות וזיהוי צרכים ופערים מראש.


תפעול שוטף של הלשכה, מתן מענה טלפוני וכתוב, טיפול בפניות מגורמים פנים וחוץ ארגוניים ועבודה מול ממשקים רבים בתוך המרכז הרפואי.


מעקב, תיעוד ובקרה אחר משימות, לרבות ריכוז סטטוסים והנעת גורמים לביצוע בהתאם לצורך.


הכנת חומרים ומצגות לפגישות, הוצאת סיכומי פגישות וריכוז נתונים.


סיוע בתהליכי קליטת עובדים חדשים לאגף, לצד נגיעה בפעילויות רווחה ופעילויות פנים-אגפיות שונות.


ביצוע משימות נוספות בהתאם לצורכי הלשכה והאגף.


מילוי תפקיד בשעת חירום בהתאם להנחיית הממונה, כחלק מהיות המרכז הרפואי ארגון חיוני.




דרישות:


ניסיון של שנתיים לפחות בניהול לשכה / תפקיד אדמיניסטרטיבי בכיר ומרובה ממשקים - חובה


ניסיון בהכנת מצגות וחומרים ניהוליים - חובה


שליטה מצוינת ביישומי Office, בדגש על Outlook, PowerPoint ו-Excel - חובה


ניסיון במעקב ובקרה אחר משימות ותהליכים - יתרון משמעותי


ניסיון בעבודה עם כלים מתקדמים לניהול משימות ו/או כלי AI - יתרון


תואר ראשון - יתרון


סדר, דיוק ויכולת תיעדוף, לצד שירותיות, תקשורת בין־אישית מצוינת והנעת ממשקים בסביבה מרובת משימות..




היקף משרה:


משרה מלאה, ימים א'-ה
'


נדרשת נכונות לשעות נוספות במידת הצורך


*משרה זמנית - החלפה לחל""ד, עם אופציה*"
"מזכיר.ה ללשכת סמנכ""ל מו""פ",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-06,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197850,אדמינסטרציה,,"תיאור תפקיד:


עבודה בשיתוף פעולה מקצועי עם סמנכ""ל מחקר, פיתוח וחדשנות ומנהל האגף הפנימי.


ניהול יומנים מורכבים ותיאום פגישות עבור הסמנכ""ל ובעלי תפקידים נוספים, בהתאם לצורך.


תיאום פגישות מרובות משתתפים מול ממשקים פנים וחוץ ארגוניים, לרבות גורמים בכירים.


מענה לפניות טלפוניות וכתובות, ריכוז והכנת חומרים לפגישות, מעקב אחר משימות וסיוע בקידום תהליכים אדמיניסטרטיביים שוטפים.


טיפול בתהליכי רכש, הזמנת כיבוד וציוד משרדי, ניהול תיעוד, ארכיון וחומרים מקצועיים.


מתן סיוע אדמיניסטרטיבי שוטף ללשכה וביצוע משימות נוספות בהתאם לצורך.


כחלק מצוות לשכת הסמנכ""ל, התפקיד כולל חשיפה לתהליכים, החלטות וחומרים רגישים בליבת פעילות הארגון. בהתאם לכך, נדרשת שמירה על דיסקרטיות גבוהה והפעלת שיקול דעת מקצועי.


התפקיד מתאים למי שמביא.ה תודעת שירות גבוהה, סדר ודיוק, יכולת תיעדוף והובלת משימות, לצד התמודדות טובה עם עומס, דינמיות וריבוי משימות.




דרישות:


ניסיון אדמיניסטרטיבי קודם - חובה 


ניסיון בניהול יומנים מורכבים והיכרות טובה עם Outlook — חובה


שליטה טובה ביישומי Office, לרבות Excel ו-PowerPoint — חובה


אנגלית ברמה טובה — חובה


תואר ראשון — יתרון


ניסיון בעבודה בסביבת הנהלה / לשכה בכירה — יתרון


יכולת עבודה מול ממשקים מגוונים ובכירים


כישורים בין-אישיים מצוינים ותודעת שירות גבוהה


יכולת עבודה בדיסקרטיות, אחריות ותשומת לב לפרטים


יכולת ארגון, תיעדוף וניהול מספר משימות במקביל


יכולת עבודה בסביבה דינמית ותחת עומס




היקף משרה:


משרה מלאה, ימים א'-ה'


נדרשת מוכנות לשעות נוספות במידת הצורך"
מנהל.ת מעבדה לאימונולוגיה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-04,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197848,"מדעים ומו""פ כללי",,"הצטרפו אלינו לתפקיד בכיר ומשמעותי, המחבר בין רפואת מעבדה, מחקר, אקדמיה ופעילות קלינית מתקדמת, עם השפעה ישירה על תהליכי אבחון וטיפול בבית החולים
.


זוהי הזדמנות להוביל מעבדה מקצועית ומרכזית בתחום האימונולוגיה, לקדם חדשנות, לפתח שירותים ובדיקות חדשות, ולהיות חלק מתהליכים ארגוניים רחבים בתחומי דאטה, אוטומציה ו־
AI
.




תיאור תפקיד
:




ניהול כולל של המעבדה לאימונולוגיה, לרבות צוות מקצועי, תהליכי עבודה, פעילות שוטפת ועמידה ביעדים מקצועיים וארגוניים


הובלת תהליכים מקצועיים, שיפור איכות, כתיבת נהלים, הטמעתם ובקרה על יישומם


אחריות על הטמעה, פיתוח והערכה של בדיקות ושיטות מעבדה חדשות


עבודה שוטפת מול רופאים, מחלקות קליניות וגורמים מקצועיים נוספים, תוך חיבור בין תוצאות המעבדה למשמעות הקלינית ולצרכי המטפלים


אחריות על תחום האיכות, בקרות, ולידציות, עמידה בדרישות רגולציה ותקנים מקצועיים


ניהול והובלת צוות עובדים, לרבות חניכה, הדרכה, פיתוח מקצועי והתמודדות עם עומסים ואתגרים מקצועיים


הובלת פרויקטים בתחומי חדשנות, אוטומציה, ניתוח נתונים ופיתוח שירותי המעבדה


עמידה ביעדי תקציב, ביצוע רכש, עבודה מול ספקים, ניהול מלאי ואחריות לתהליכים תפעוליים נוספים


השתלבות בפעילות מחקרית, קידום שיתופי פעולה אקדמיים ומקצועיים בארץ ובחו״ל


ייצוג המעבדה מול ממשקים פנימיים וחיצוניים, גורמים קליניים, רגולטוריים ומקצועיים


קידום פרויקטים ותהליכים נוספים במסגרת בית החולים, בתיאום עם הממונה






דרישות חובה
:




תואר שלישי
 PhD 
במדעי החיים / ביולוגיה / אימונולוגיה או תחום רלוונטי


תעודת הכרה במעמד מטעם משרד הבריאות


ניסיון מקצועי בעבודה במעבדה קלינית


ניסיון בניהול, הדרכה וחניכת עובדים / סטודנטים / צוות מקצועי


יכולת עבודה מול ממשקים מרובים, לרבות צוותים רפואיים, מחלקות קליניות וגורמים ניהוליים


יכולת הובלת תהליכים מקצועיים תוך שמירה על איכות, דיוק ועמידה בדרישות רגולטוריות






דרישות המהוות יתרון
:




ניסיון בתחום האימונולוגיה, סרולוגיה או נוירואימונולוגיה - יתרון משמעותי


ניסיון בפיתוח, הטמעה וולידציה של בדיקות חדשות


תעודת בכיר.ה באימונולוגיה


היתר לניהול מעבדה רפואית


ניסיון בעבודה עם מערכות איכות, בקרות, נהלים ותהליכי ולידציה


ניסיון בניהול תקציב, רכש, ספקים או תהליכי מכרזים


היכרות עם תחומי
 
AI
, אוטומציה,
 ,BI 
אלגוריתמיקה רפואית או ניתוח נתונים


ניסיון מחקרי, פרסומים מדעיים ושיתופי פעולה אקדמיים


ניסיון בפיתוח שירותים חדשים או מניבי הכנסה  






כישורים נדרשים
:


ראייה מערכתית, אחריות אישית גבוהה, יכולת הובלת צוות וממשקים בסביבה מורכבת, לצד דיוק מקצועי, יוזמה ויכולת קבלת החלטות בתנאי עומס
.




היקף משרה
:


משרה מלאה, ימים א'-ה', נדרשת מוכנות לשעות נוספות במידת הצורך"
טכנאי.ת אחזקה ומסיק.ת דוודים,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197821,"אחזקה ,נקיון, תחזוקה ותיקונים",,"תיאור התפקיד


טיפול במערכות קיטור וקונדנס


הפעלה וטיפול בחדר דוודים


טיפול במערכות אלקטרו מכניות במתחם בית החולים


דרישות התפקיד :


מכונאי/בוגר בי""ס מקצועי/ בוגר תיכון עם חוש טכני/ אדם שאוהב עבודת ידיים -חובה


הנדסאי / טכנאי מכונות מדופלם - יתרון.


רישיון מסיק דוודים - יתרון משמעותי .


ניסיון בטיפול במערכות קיטור / דוודים - יתרון




היקף משרה


משרה מלאה , כולל סופ""ש - 
בצוע תורנויות לילה, מועדים ושבתות לאחר הכשרה ורכישת ניסיון."
"סטודנט.ית במקצועות הבריאות / תעו""נ לעבודת תצפיות ומיפוי מגוונת",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197820,"סטודנטים, נוער, אחרי צבא",,"לעבודת ארגון ושיטות לצורך עזרה בתכנון בית החולים השיקומי החדש של איכילוב, דרושים סטודנטים.ות למיפוי שטחי טיפול ותנועת מטופלים




תכולת התפקיד:




העבודה מתבצעת בבית החולים איכילוב בת""א, במחלקות השיקום, וכוללת אינטראקציה עם מטופלים במצבי חולי שונים


העבודה מתבצעת בעמידה/ הליכה, מצריכה ריכוז לאורך זמן, אחריות וראש גדול.




דרישות התפקיד:




סטודנטים.יות ממקצועות הבריאות השונים (לרבות רפואה, סיעוד, פיזיותרפיה, ריפוי בעיסוק, קלינאות תקשורת, פסיכולוגיה, עבודה סוציאלית, דיאטה), או להנדסת תעשייה וניהול.


בעלי.ות פניות לעבודה במהלך שעות הבוקר 7:30-15:30 במשך כשבועיים רצופים במהלך חודש יוני- יולי


שליטה מלאה בשפה העברית


שליטת מלאה באופיס וספציפית באקסל




** המשרה מיועדת גם למי שאינו סטודנטי.ת ובעל.ת פניות למשך הזמן והשעות הרלוונטיות לתפקיד"
מהנדס.ת DATA,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197819,"תשתית, מערכות מידע ואבטחת מידע- IT",,"אגף מערכות מידע מגייס Data Engineer עם רקע חזק בעולמות ה-BI, להצטרפות לצוות דאטה מרכזי העוסק בהקמה והובלה של פלטפורמת נתונים מודרנית.


התפקיד כולל עבודה על דאטה קליני ותפעולי בהיקפים גדולים, תוך שילוב בין עולמות DWH קלאסיים לבין ארכיטקטורות Data Lake / Lakehouse מתקדמות.




במסגרת התפקיד:




תכנון והקמה של Data Pipelines מקצה לקצה עבור דאטה רפואי ותפעולי


פיתוח מודלים אנליטיים (Data Modeling) לתמיכה בקבלת החלטות קליניות ועסקיות


עבודה עם Data Lake / Lakehouse לניהול נתונים בהיקפים גדולים


אינטגרציה של מקורות מידע מגוונים (מערכות רפואיות, מערכות תפעוליות, APIs)


שיפור Data Quality, ניטור תהליכים והתמודדות עם Data Gaps (חוסרים, עיכובים, טעויות)


עבודה צמודה עם אנליסטים, חוקרים, צוותי BI וגורמים קליניים


הובלת Best Practices בתחום ניהול נתונים בארגון






דרישות חובה




ניסיון של 3+ שנים כ-BI Developer או Data Engineer


שליטה גבוהה ב-SQL וניסיון מוכח ב-Data Modeling (Star Schema / Snowflake)


ניסיון בפיתוח תהליכי ETL/ELT מורכבים


ניסיון בעבודה עם Python (או שפה דומה)


הבנה מעמיקה של DWH קלאסי


ניסיון בעבודה עם סביבת Microsoft (SQL Server / Power BI)






יתרון משמעותי




ניסיון עם כלים מודרניים כגון: dbt Apache Airflow Airbyte Trino


ניסיון בעבודה עם Object Storage (כגון Amazon S3) ו-Data Lake


היכרות עם Apache Iceberg


ניסיון בארכיטקטורת Data Lakehouse


ניסיון בעבודה עם דאטה רפואי / קליני (EMR / EHR)


היכרות עם תקני מידע רפואיים (HL7 / FHIR)


ניסיון בעבודה בסביבות ענן"
ראש.ת צוות BI באגף מערכות מידע,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-01,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197818,רפואה ובריאות,,"הובלת תחום הבינה העסקית בארגון, כולל ניהול צוות מקצועי, הובלת פרויקטים חוצי ארגון, ואפיון פתרונות 
Data 
 מתקדמים
.


התפקיד משלב בין הובלה ניהולית, הבנה עסקית עמוקה, ויכולות 
hands-on 
 בעולמות ה
 - BI 
והדאטה
.




במסגרת התפקיד:




ניהול והובלת צוות 
BI 
(4-6 מפתחים/אנליסטים) - מקצועית ואישית


הובלת פרויקטי 
BI 
 מקצה לקצה - משלב האפיון ועד לעלייה לייצור


ניתוח דרישות עסקיות מורכבות ותרגומן לפתרונות 
BI
 ו - 
Data


תכנון והובלת ארכיטקטורת 
DWH 
 ארגונית


פיתוח ותחזוקה של תהליכי 
ETL 
 בסביבת 
Microsoft


פיתוח דשבורדים ודיווח ב - 
Power BI


הגדרת מתודולוגיות עבודה
, Best Practices 
וסטנדרטים


עבודה שוטפת מול הנהלה בכירה, גורמים קליניים ויחידות עסקיות


אחריות על 
 Data Quality 
אמינות הנתונים וזמינותם


תעדוף משימות וניהול תוכנית עבודה צוותית




דרישות חובה




ניסיון של 5+ שנים בעולמות 
BI / DWH


ניסיון של 2+ שנים בניהול צוות 
BI


ניסיון מוכח בהובלת פרויקטי 
BI 
 מורכבים מקצה לקצה


שליטה גבוהה מאוד ב
SQL 


ניסיון ב
Data Modeling (Star Schema / Snowflake)


ניסיון בעבודה עם 
 SQL Server 
ו
SSIS 


ניסיון משמעותי בפיתוח דוחות ודשבורדים ב
Power BI 


ניסיון באפיון מערכות 
BI 
 וכתיבת מסמכי דרישות


יכולת עבודה מול דרגים בכירים ולקוחות פנימיים




יתרון משמעותי




ניסיון בעבודה בארגון בריאות / דאטה קליני


היכרות עם תקני מידע רפואיים 
(HL7 / FHIR)


ניסיון עם 
Azure Synapse Analytics 
או פתרונות ענן של 
Microsoft


ניסיון בהובלת מעבר ל
-Modern Data Stack


ניסיון בהטמעת תהליכי 
Data Governance 
ו
-Data Quality


היכרות עם כלי 
Orchestration 
או 
ELT 
מודרניים




היקף המשרה:


משרה מלאה עם נכונות לש.נ בהתאם לצורך"
"רכז.ת אדמניסטרציה ותפעול למח' לנוירוכירוגית ילדים ולמרכז הישראלי לנוירופיברומטזיס (החלפת חל""ד)",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-01,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197817,אדמינסטרציה,,"רכז/ת אדמיניסטרציה ותפעול למחלקה לנוירוכירורגית ילדים ולמרכז הישראלי לנוירופיברומטוזיס:


במסגרת התפקיד:


אחריות על תפעול שוטף של פעילות המחלקה


תיאום בין צוותים רפואיים ומנהליים


ליווי והובלת פרויקטים ומחקרים מול ועדות וגופים שונים


טיפול במשאבי אנוש ובמשתלמים ומתמחים מחו״ל


תיאום נסיעות לחו""ל


ניהול רכש, תקציבים וחשבונות


ארגון ישיבות וכנסים


תמיכה בפעילות אקדמית ובינלאומית בסביבה מקצועית, דינמית ומאתגרת




*התפקיד הנו להחלפת חל""ד ממושכת (כ-9 חודשים- עם אופציה)




דרישות המשרה:


ניסיון של 3-5 שנים באדמניסטרציה שוטפת ותפעול- חובה


ניסיון בעבודת ממשקים מורכבת


ניסיון בניהול יומן ותיאום ישיבות


ניסיון בארגון כנסים, תיאום נסיעות חו""ל


רצוי- ניסיון בסביבה אקדמית / רפואית


תואר אקדמי- יתרון משמעותי


שליטה מלאה באנגלית (דיבור קריאה וכתיבה) לצורך עבודה מול ממשקי חו""ל




היקף המשרה:


משרה מלאה 8.5 שעות (גמיש)


לתקופה של 8-9 חודשים (עם אופציה)"
כלכלן.ית לתאגיד הבריאות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197809,"כלכלה, כספים, השקעות ושוק ההון",,"כלכלן.ית בעל.ת יכולות אנליטיות גבוהות ורצון להשפיע על פיתוח שירותי הבריאות של העתיד. התפקיד כולל הובלת תהליכים כלכליים, בניית מודלים עסקיים ותמיכה בעיצוב ויישום פרויקטים אסטרטגיים.


תיאור תפקיד:




ביצוע ניתוחים כלכליים ועסקיים לפרויקטים חדשים וקיימים כולל גיבוש וניתוח חלופות


בניית מודלים עסקיים, תכנון הכנסות, אומדני עלויות ובחינת כדאיות כלכלית


ליווי תהליכי פיתוח שירותים רפואיים מהשלב הרעיוני ועד ליישום


ריכוז נתונים, הפקת תובנות והצגת ממצאים להנהלה


שיתוף פעולה עם מנהלי פרויקטים, גורמים קליניים ותפעוליים


תמיכה בקבלת החלטות מבוססות נתונים ובתכנון תקציבי




דרישות:


תואר ראשון בכלכלה/מנע""ס/חשבונאות - חובה; תואר שני - יתרון


כלכלן בריאות - יתרון משמעותי


ניסיון בעבודה במערכת הבריאות, הכרות עם משרד הבריאות כולל היכרות עם מודלים כלכליים בתחום - יתרון משמעותי


מינימום 3 שנות ניסיון


ניסיון בניתוחים כלכליים, הכנת תחזיות, מודלים עסקיים או עבודת מטה דומה


שליטה גבוהה באקסל ויכולת ניתוח נתונים מורכבים


יכולת כתיבת מסמכים עסקיים והצגת ממצאים באופן ברור ומקצועי


יכולת עבודה עצמאית, חשיבה אנליטית, חתירה למצוינות ושרותיות




היקף משרה:


משרה מלאה, ימים א'-ה'"
מנהל.ת פרויקטים בתאגיד הבריאות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197808,כללי,,"תיאור התפקיד:


ייזום וקידום פרויקטים מול גורמים פנימיים וחיצוניים.


ניהול תהליך מקצה לקצה — משלב הרעיון ועד הגעה למטופל ראשון.


גיבוש תהליכים והסרת חסמים ארגוניים, רגולטוריים ותפעוליים.


רתימת גורמים קליניים, תפעוליים וניהוליים בתוך הארגון.


בניית מודלים עסקיים, בחינת אלטרנטיבות וגיבוש המלצות.


ביצוע בחינות היתכנות וניתוח נתונים לתמיכה בקבלת החלטות.


עבודה שוטפת עם יחידות הארגון לקידום פרויקטים עד ליישום מלא.




דרישות:




כ- 5 שנות ניסיון בניהול פרויקטים מורכבים — יתרון לניסיון במערכת הבריאות, מגזר ציבורי או ייעוץ ולפרוייקטים בהיקף מיליון ש""ח


תואר ראשון — חובה; תואר שני בתחומים רלוונטיים — יתרון


ניסיון בבניית והטמעת שירותי בריאות, עבודה בארגוני בריאות / משרד הבריאות וניסיון בהובלת תהליכים עם גורמים קליניים ותפעוליים עד ליישום בפועל - יתרון 


יכולת ניתוח עסקי, חשיבה מערכתית וכתיבת מסמכים מקצועיים


תקשורת בין‑אישית מצוינת ויכולת להניע תהליכים


יכולת חשיבה יצירתית ושרותיות




היקף משרה:


משרה מלאה, ימים א'-ה'"
