title,company,location,date,url,department,workplace_type
מתאמ.ת מחקר למכון שינה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-07,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197887,"מדעים ומו""פ כללי",
מנהל.ת לשכת אגף לוגיסיטיקה ותשתיות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-06,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197834,אדמינסטרציה,
"מזכיר.ה ללשכת סמנכ""ל מו""פ",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-06,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197850,אדמינסטרציה,
מנהל.ת מעבדה לאימונולוגיה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-04,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197848,"מדעים ומו""פ כללי",
טכנאי.ת אחזקה ומסיק.ת דוודים,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197821,"אחזקה ,נקיון, תחזוקה ותיקונים",
"סטודנט.ית במקצועות הבריאות / תעו""נ לעבודת תצפיות ומיפוי מגוונת",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197820,"סטודנטים, נוער, אחרי צבא",
מהנדס.ת DATA,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-02,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197819,"תשתית, מערכות מידע ואבטחת מידע- IT",
ראש.ת צוות BI באגף מערכות מידע,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-01,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197818,רפואה ובריאות,
"רכז.ת אדמניסטרציה ותפעול למח' לנוירוכירוגית ילדים ולמרכז הישראלי לנוירופיברומטזיס (החלפת חל""ד)",המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-05-01,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197817,אדמינסטרציה,
כלכלן.ית לתאגיד הבריאות,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2026-04-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=197809,"כלכלה, כספים, השקעות ושוק ההון",
