title,company,location,date,url,department,workplace_type
מתכנת.ת מחשבים בענף יישומים באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64020,,
מפעיל/ת מערכות מיזוג אוויר בחדר בקרה - 24/7,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63947,,
סטודנט.ית- רכז.ת מאגרי מידע בתחום דוברות ויחסי ציבור למכון ויצמן למדע,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63903,,
רכז.ת נסיעות באגף הכספים,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64243,,
מנהל.ת פרוייקטים טכנו-פדגוגיים,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64022,,
קניינ.ית רכש,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63765,,
מתאמ.ת מחקר במחלקה לאימונולוגיה מערכתית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64016,,
עוזר.ת מחקר במחלקה למדעים ביומולקולריים,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63962,,
עובד.ת מעבדה במחלקה למדעי המוח,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63861,,
חוקר.ת חישובי למחלקה לגנטיקה מולקולרית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63481,,
סדרני.ת,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/63825,,
מדענ.ית סגל,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/1003,,
עוזר.ת מחקר במחלקה לתשתיות מחקר מדעי החיים,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64069,,
עובד.ת כללי  למחלקה למדעי מחשב ומתמטיקה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64226,,
תקציבאי.ת- משרת סטודנט.ית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64056,,
ביוכימאי.ת,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/1002,,
מנהל.ת פרוייקטים בתחום אינסטלציה וגזים באגף בינוי והנדסה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64115,,
חרט.ת כרסמ.ת קונבנציונאלי.ת,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64118,,
עובד.ת מעבדה במחלקה למדעי המוח,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64138,,
רכז.ת אדמיניסטרטיבי.ת במחלקה לתקשורת ודוברות,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64142,,
מנהל.ת פרויקטי תוכנה באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64147,,
מומחה.ית תחום אודיו וידאו,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64149,,
"מנהל.ת חשבונות – צוות ספקים, אגף כספים",מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64156,,
עובד.ת מעבדה  בקבוצת המחקר גנאים - לניהול מעבדה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/1007,,
עובד.ת משק לקאנטרי קלאב במתחם מכון ויצמן ברחובות,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/1009,,
סטודנט.ית מנהל.ת חשבונות- משרה זמנית לחצי שנה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64164,,
רכז.ת אדמיניסטרטיבי.ת אישי.ת למחלקה לגנטיקה מולקולרית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64189,,
"ראש.ת ענף שכר, פנסיה וביטוחים",מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64187,,
