title,company,location,date,url,department,workplace_type,description,requirements
מתכנת.ת מחשבים בענף יישומים באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64020,,,,
מפעיל/ת מערכות מיזוג אוויר בחדר בקרה - 24/7,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63947,,,,
סטודנט.ית- רכז.ת מאגרי מידע בתחום דוברות ויחסי ציבור למכון ויצמן למדע,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63903,,,,
רכז.ת נסיעות באגף הכספים,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64243,,,,
מנהל.ת פרוייקטים טכנו-פדגוגיים,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64022,,,,"התפקיד כוללות:
מיפוי, ניתוח ואפיון של סביבות למידה, מחקר ותכנים אינטראקטיביים, הגדרת פתרונות מבוססי טכנולוגיה, תוך שיתוף פעולה עם חוקרי המחלקה, מומחי תוכן, צוותי פיתוח, עיצוב, תמיכה והדרכה, כמענה למטרות הפדגוגיות שהוגדרו
זיהוי והערכה של טכנולוגיות חינוכיות זמינות, במטרה להעשיר חוויות למידה ופיקוח על האינטגרציה של טכנולוגיות אלו לתוך פרויקטים חינוכיים קיימים
תכנון הפרויקט וליווי לאורך כל שלביו תוך עמידה בזמנים, תקציבים וברמת איכות גבוהה ותיעוד התהליך ע""י מסמכי פיצוח ואפיון
מעקב על תקציבי הפרויקט הכולל בין היתר: הגשת הצעת מחיר ראשונית, מעקב הוצאות, התראות על חריגות, עד לתשלום ובקרה על הכנסות למול הוצאות
כישורים ויכולות:
תואר אקדמי בטכנולוגיות חינוכיות / חינוך ו/או הסמכה בניהול פרויקטים / רקע בהוראת המדעים
ניסיון של 3 שנים לפחות בתפקיד ניהול ואפיון פרויקטים חינוכיים מבוססי טכנולוגיה
ניסיון בעבודה עם טכנולוגיות חינוכיות שונות ובפרט מערכות ניהול למידה  (LMS)
היכרות עם כלי ניהול פרויקטים וכלי פיתוח תוכן – יתרון
ניסיון בניהול תקציבים – יתרון
ניסיון בניהול רכש מול ספקים לצורך רכישת כלים טכנולוגיים חיוניים לביצוע הפרויקטים – יתרון
שליטה בשפות עברית ואנגלית ברמה גבוהה
יוזמה, ראייה מערכתית ויכולת הובלה עצמאית של משימות ותהליכים
תודעת שרות ותקשורת בינאישית ברמה גבוהה"
קניינ.ית רכש,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63765,,,,
מתאמ.ת מחקר במחלקה לאימונולוגיה מערכתית,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64016,,,":
• תיאום מחקרים קליניים הכוללים נבדקים אנושיים
• גיוס נבדקים, מתן הסברים והנחיות, מענה לשאלות.
• איסוף ואחסון דגימות, עבודה מעבדתית.
• קשר עם מתאמי מחקר בבתי חולים בארץ ובחו""ל
• טיפול תזונתי פרטני במטופלים.
כישורים ויכולות:
• תואר ראשון במדעי התזונה ורישיון משרד הבריאות – חובה
• ניסיון בטיפול בהשמנה וירידה במשקל – חובה
• שליטה באנגלית ברמה גבוהה קריאה/כתיבה/דיבור – חובה
הגשת מועמדות
משרות נוספות:
מדענ.ית סגל למעבדת ההטרוגניות בסרטן
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
עוזר.ת מחקר במחלקה למדעים ביומולקולריים
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
ביוכימאי.ת
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
Career at the Weizmann Institute of Science
קריירה במכון ויצמן למדע
מכון ויצמן למדע | רחוב הרצל 234, ת.ד. 26, רחובות 7610001 ישראל",
עוזר.ת מחקר במחלקה למדעים ביומולקולריים,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63962,,,":
מחקר עצמאי: ניסוח שאלות מחקר, ביצוע ניסויים, תרביות תאים, עבודה מולקולרית וחיידקים
ניהול מעבדה: כתיבת גראנטים ואישורי אתיקה, הדרכת סטודנטים, ניהול ציוד ומלאי, תיאום מול ספקים והבטחת בטיחות.
כישורים ויכולות:
Ph.D. בביולוגיה או תחום דומה אחר
ניסיון בעבודה מולקולרית וביולוגיה רטובה.
ניסיון בתרביות תאים/חיידקים/אימונולוגיה – יתרון משמעותי.
אנגלית ברמה גבוהה לכתיבה והצגה בכנסים.
יכולת עבודה עצמאית וניהולית, אנרגטיות ויכולת הנעת אנשים.
רקע בכימיה – יתרון.
הגשת מועמדות
משרות נוספות:
עובד.ת מעבדה במחלקה למדעי כדור הארץ וכוכבי הלכת
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
מתאמ.ת מחקר במחלקה לאימונולוגיה מערכתית
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
מדענ.ית סגל למעבדת ההטרוגניות בסרטן
קטגוריה:
ע. מחקר ומעבדה ומדעני סגל
היקף משרה:
משרה מלאה
קרא עוד
Career at the Weizmann Institute of Science
קריירה במכון ויצמן למדע
מכון ויצמן למדע | רחוב הרצל 234, ת.ד. 26, רחובות 7610001 ישראל",
עובד.ת מעבדה במחלקה למדעי המוח,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63861,,,,
חוקר.ת חישובי למחלקה לגנטיקה מולקולרית,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63481,,,,"חובה:
תואר MSc/PhD בלמידת מכונה, סטטיסטיקה (ביולוגית), מדעי המחשב או ניסיון עבודה שווה ערך בפיתוח פתרונות AI/ML מתקדמים.
ניסיון מעשי של שנתיים ומעלה ב-AI/ML.
שליטה מלאה ב-Python (חובה).
ניסיון בפיתוח בסביבת Linux.
מוטיבציה לעבודה בסביבה אקדמית.
דרישות מועדפות:
רקע ב-ML בתחום הבריאות, ביולוגיית מחלות או רפואה.
פרסומים מדעיים ב-AI/ML (NeurIPS, ICML, ICLR, Aers), ביולוגיה חישובית או ביואינפורמטיקה.
ניסיון בעבודה עם נתונים ביורפואיים בעלי תפוקה גבוהה (כגון גנום, טרנסקריפטום, פרוטאום, רשומות רפואיות אלקטרוניות, תמונות קליניות).
ניסיון ב-RStudio.
נא לצרף:
הצהרת עניין מחקרי/מכתב מקדים יחד עם קורות חיים (כולל רשימת פרסומים) ופרטי קשר של 1–2 ממליצים"
